Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.39,0.395,0.395,0.39,0.1594,0.00%,,N
29-Sep-2020,0.39,0.39,0.395,0.39,0.226,0.00%,,N
30-Sep-2020,0.39,0.39,0.39,0.39,0.07400000000000001,0.00%,,N
01-Oct-2020,0.39,0.39,0.39,0.39,0.0238,0.00%,,N
02-Oct-2020,0.39,0.39,0.39,0.385,0.0701,0.00%,,N
05-Oct-2020,0.4,0.39,0.405,0.39,0.3018,2.56%,,N
06-Oct-2020,0.415,0.4,0.445,0.4,1.9,3.75%,,N
07-Oct-2020,0.425,0.415,0.43,0.415,0.9847,2.41%,,N
08-Oct-2020,0.46,0.43,0.475,0.425,6.65,8.24%,,N
09-Oct-2020,0.41,0.455,0.455,0.41,5.69,-10.87%,1.6079800000000002,N
12-Oct-2020,0.445,0.42,0.46,0.42,2.29,8.54%,1.82104,N
13-Oct-2020,0.46,0.455,0.475,0.45,4.23,3.37%,2.2214400000000003,N
14-Oct-2020,0.45,0.46,0.46,0.445,1.38,-2.17%,2.3520399999999997,N
15-Oct-2020,0.44,0.44,0.445,0.44,0.5371,-2.22%,2.40337,N
16-Oct-2020,0.515,0.45,0.525,0.44,14.49,17.05%,3.8453600000000003,N
19-Oct-2020,0.505,0.515,0.55,0.505,9.38,-1.94%,4.75318,N
20-Oct-2020,0.51,0.51,0.535,0.505,2.63,0.99%,4.826180000000001,N
21-Oct-2020,0.53,0.525,0.565,0.515,22.46,3.92%,6.97371,N
22-Oct-2020,0.515,0.53,0.55,0.515,3.97,-2.83%,6.705709999999999,N
23-Oct-2020,0.48,0.515,0.53,0.47,4.46,-6.80%,6.582709999999999,N
26-Oct-2020,0.495,0.485,0.515,0.485,3.62,3.13%,6.715709999999999,N
27-Oct-2020,0.5,0.49,0.51,0.49,0.8422999999999999,1.01%,6.376939999999998,N
28-Oct-2020,0.51,0.5,0.525,0.5,2.98,2.00%,6.536939999999999,N
30-Oct-2020,0.495,0.51,0.54,0.485,6.36,-2.94%,7.119229999999999,N
02-Nov-2020,0.585,0.495,0.61,0.49,23.82,18.18%,8.052229999999998,N
03-Nov-2020,0.52,0.585,0.595,0.52,11.01,-11.11%,8.21523,N
04-Nov-2020,0.52,0.525,0.545,0.515,2.46,0.00%,8.198229999999999,N
05-Nov-2020,0.53,0.53,0.535,0.515,1.61,1.92%,6.11323,N
06-Nov-2020,0.515,0.53,0.53,0.515,1.46,-2.83%,5.862229999999999,N
09-Nov-2020,0.565,0.515,0.565,0.515,6.16,9.71%,6.032229999999999,N
10-Nov-2020,0.54,0.55,0.55,0.535,1.79,-4.42%,5.8492299999999995,N
11-Nov-2020,0.55,0.545,0.57,0.545,4.63,1.85%,6.228,N
12-Nov-2020,0.54,0.55,0.55,0.54,1.32,-1.82%,6.061999999999999,N
13-Nov-2020,0.55,0.54,0.56,0.54,1.79,1.85%,5.6049999999999995,N
16-Nov-2020,0.58,0.56,0.58,0.555,4.4,5.45%,3.6629999999999994,N
17-Nov-2020,0.72,0.61,0.86,0.61,164.6,24.14%,19.022,Y
18-Nov-2020,0.775,0.735,0.82,0.72,57.01,7.64%,24.476999999999997,N
19-Nov-2020,0.75,0.795,0.795,0.74,14.39,-3.23%,25.754999999999995,N
20-Nov-2020,0.68,0.76,0.76,0.67,21.15,-9.33%,27.723999999999997,N
23-Nov-2020,0.76,0.695,0.835,0.685,86.47,11.76%,35.75499999999999,N
24-Nov-2020,0.75,0.775,0.805,0.73,18.01,-1.32%,37.37699999999999,N
25-Nov-2020,0.74,0.765,0.785,0.725,19.0,-1.33%,38.813999999999986,N
26-Nov-2020,0.735,0.75,0.77,0.735,14.95,-0.68%,40.176999999999985,N
