Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.82,0.84,0.84,0.81,0.6174,-3.53%,,N
29-Sep-2020,0.83,0.84,0.845,0.805,0.838,1.22%,,N
30-Sep-2020,0.815,0.84,0.845,0.81,0.3848,-1.81%,,N
01-Oct-2020,0.83,0.81,0.84,0.805,0.5920000000000001,1.84%,,N
02-Oct-2020,0.895,0.835,0.95,0.825,2.99,7.83%,,N
05-Oct-2020,0.865,0.9,0.9,0.855,0.6031,-3.35%,,N
06-Oct-2020,0.84,0.88,0.89,0.835,0.5732,-2.89%,,N
07-Oct-2020,0.84,0.825,0.845,0.815,0.4737,0.00%,,N
08-Oct-2020,0.845,0.845,0.87,0.835,0.2571,0.60%,,N
09-Oct-2020,0.885,0.865,0.885,0.84,0.8069,4.73%,0.81362,N
12-Oct-2020,0.905,0.905,0.925,0.89,1.5,2.26%,0.90188,N
13-Oct-2020,0.9,0.88,0.9,0.87,0.2807,-0.55%,0.8461500000000001,N
14-Oct-2020,0.875,0.88,0.88,0.86,0.5619,-2.78%,0.8638600000000001,N
15-Oct-2020,0.88,0.875,0.895,0.87,0.4276,0.57%,0.84742,N
16-Oct-2020,0.875,0.89,0.895,0.87,0.1664,-0.57%,0.5650599999999999,N
19-Oct-2020,0.86,0.875,0.875,0.845,0.7651,-1.71%,0.58126,N
20-Oct-2020,0.85,0.86,0.865,0.85,0.4852,-1.16%,0.57246,N
21-Oct-2020,0.865,0.86,0.875,0.845,0.8184,1.76%,0.60693,N
22-Oct-2020,0.855,0.88,0.88,0.855,0.7824,-1.16%,0.6594599999999999,N
23-Oct-2020,0.84,0.85,0.855,0.84,0.4037,-1.75%,0.6191399999999999,N
26-Oct-2020,0.82,0.84,0.84,0.81,0.43700000000000006,-2.38%,0.51284,N
27-Oct-2020,0.825,0.83,0.84,0.825,0.2508,0.61%,0.5098499999999999,N
28-Oct-2020,0.82,0.83,0.83,0.82,0.15430000000000002,-0.61%,0.4690899999999999,N
30-Oct-2020,0.78,0.8,0.81,0.775,0.8226,-4.88%,0.5085899999999999,N
02-Nov-2020,0.78,0.78,0.785,0.77,0.2324,0.00%,0.5151899999999998,N
03-Nov-2020,0.85,0.98,0.99,0.845,5.29,8.97%,0.9676799999999999,Y
04-Nov-2020,0.83,0.88,0.88,0.83,1.1,-2.35%,1.0291599999999996,N
05-Nov-2020,0.845,0.835,0.85,0.83,1.3,1.81%,1.0773199999999998,N
06-Nov-2020,0.895,0.88,0.905,0.865,3.18,5.92%,1.3170799999999996,N
09-Nov-2020,0.92,0.91,0.935,0.905,3.25,2.79%,1.6017099999999995,N
10-Nov-2020,0.855,0.845,0.86,0.78,2.44,-7.07%,1.8020099999999997,N
11-Nov-2020,0.845,0.855,0.86,0.835,0.8586,-1.17%,1.8627899999999993,N
12-Nov-2020,0.83,0.84,0.84,0.825,0.8308,-1.78%,1.9304399999999995,N
13-Nov-2020,0.835,0.835,0.84,0.825,0.8442000000000001,0.60%,1.9325999999999994,N
16-Nov-2020,0.84,0.84,0.845,0.835,0.8627,0.60%,1.9956299999999996,N
17-Nov-2020,0.835,0.84,0.84,0.825,0.8686,-0.60%,1.5534899999999996,N
18-Nov-2020,0.84,0.83,0.845,0.83,0.6406000000000001,0.60%,1.5075499999999997,N
19-Nov-2020,0.84,0.835,0.84,0.83,0.245,0.00%,1.4020499999999996,N
20-Nov-2020,0.915,0.84,0.955,0.835,5.52,8.93%,1.6360499999999996,N
23-Nov-2020,0.875,0.94,0.94,0.875,1.49,-4.37%,1.4600499999999994,N
24-Nov-2020,0.84,0.85,0.865,0.84,1.14,-4.00%,1.3300499999999995,N
25-Nov-2020,0.85,0.84,0.86,0.83,0.7948,1.19%,1.3236699999999995,N
26-Nov-2020,0.85,0.83,0.855,0.83,0.5118,0.00%,1.2917699999999996,N
