Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.755,0.7,0.76,0.7,2.43,7.09%,,N
29-Sep-2020,0.72,0.76,0.765,0.71,2.04,-4.64%,,N
30-Sep-2020,0.71,0.73,0.73,0.71,0.5191,-1.39%,,N
01-Oct-2020,0.715,0.715,0.72,0.71,0.2552,0.70%,,N
02-Oct-2020,0.73,0.72,0.77,0.72,3.2,2.10%,,N
05-Oct-2020,0.79,0.735,0.805,0.725,3.1,8.22%,,N
06-Oct-2020,0.78,0.805,0.82,0.74,2.91,-1.27%,,N
07-Oct-2020,0.795,0.78,0.805,0.78,1.74,1.92%,,N
08-Oct-2020,0.775,0.8,0.8,0.77,0.7915,-2.52%,,N
09-Oct-2020,0.785,0.77,0.785,0.77,0.4475,1.29%,1.7433300000000003,N
12-Oct-2020,0.785,0.795,0.81,0.78,9.69,0.00%,2.4693300000000002,N
13-Oct-2020,0.795,0.795,0.8,0.785,2.16,1.27%,2.4813300000000003,N
14-Oct-2020,0.83,0.8,0.83,0.79,8.38,4.40%,3.26742,N
15-Oct-2020,0.84,0.845,0.86,0.83,7.29,1.20%,3.9708999999999994,N
16-Oct-2020,0.89,0.85,0.93,0.84,28.29,5.95%,6.479899999999999,N
19-Oct-2020,0.93,0.9,0.945,0.88,13.36,4.49%,7.5059,N
20-Oct-2020,0.895,0.93,0.93,0.89,7.25,-3.76%,7.9399,N
21-Oct-2020,0.875,0.9,0.91,0.86,6.51,-2.23%,8.416900000000002,N
22-Oct-2020,0.89,0.87,0.89,0.86,3.4,1.71%,8.677750000000001,N
23-Oct-2020,0.865,0.9,0.915,0.865,6.28,-2.81%,9.261000000000001,N
26-Oct-2020,0.845,0.875,0.88,0.84,3.33,-2.31%,8.625000000000002,N
27-Oct-2020,0.87,0.845,0.87,0.845,2.11,2.96%,8.620000000000001,N
28-Oct-2020,0.86,0.885,0.895,0.85,4.92,-1.15%,8.274000000000003,N
30-Oct-2020,0.805,0.865,0.865,0.785,8.01,-6.40%,8.346000000000002,N
02-Nov-2020,0.78,0.795,0.795,0.77,3.43,-3.11%,5.860000000000003,N
03-Nov-2020,0.805,0.79,0.81,0.79,2.69,3.21%,4.793000000000003,N
04-Nov-2020,0.825,0.815,0.835,0.805,3.01,2.48%,4.369000000000002,N
05-Nov-2020,0.845,0.83,0.845,0.825,2.32,2.42%,3.950000000000003,N
06-Nov-2020,0.84,0.85,0.855,0.83,1.75,-0.59%,3.785000000000003,N
09-Nov-2020,0.865,0.85,0.87,0.84,2.03,2.98%,3.360000000000003,N
10-Nov-2020,0.835,0.865,0.865,0.82,1.97,-3.47%,3.224000000000003,N
11-Nov-2020,0.83,0.83,0.84,0.82,1.25,-0.60%,3.138000000000003,N
12-Nov-2020,0.89,0.835,0.89,0.835,4.42,7.23%,3.088000000000003,N
13-Nov-2020,0.875,0.89,0.915,0.86,4.74,-1.69%,2.7610000000000037,N
16-Nov-2020,0.825,0.885,0.89,0.815,8.73,-5.71%,3.291000000000003,N
17-Nov-2020,0.825,0.82,0.83,0.79,4.37,0.00%,3.459000000000003,N
18-Nov-2020,0.81,0.83,0.83,0.8,2.68,-1.82%,3.4260000000000033,N
19-Nov-2020,0.82,0.815,0.835,0.81,2.67,1.23%,3.4610000000000034,N
20-Nov-2020,0.84,0.825,0.84,0.82,2.35,2.44%,3.5210000000000035,N
23-Nov-2020,0.815,0.84,0.84,0.815,2.64,-2.98%,3.5820000000000034,N
24-Nov-2020,0.86,0.815,0.885,0.8,23.73,5.52%,5.7580000000000044,N
25-Nov-2020,0.855,0.855,0.88,0.825,9.9,-0.58%,6.623000000000005,N
26-Nov-2020,0.755,0.74,0.775,0.73,27.03,-11.70%,8.884000000000004,N
