Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
29-Sep-2020,1.76,1.65,1.76,1.64,0.0142,-0.56%,,N
30-Sep-2020,1.7,1.65,1.7,1.65,0.0021000000000000003,-3.41%,,N
02-Oct-2020,1.72,1.61,1.72,1.61,0.006,1.18%,,N
05-Oct-2020,1.59,1.59,1.59,1.59,0.006,-7.56%,,N
06-Oct-2020,1.7,1.59,1.7,1.59,0.0171,6.92%,,N
07-Oct-2020,1.67,1.6,1.67,1.6,0.008,-1.76%,,N
13-Oct-2020,1.68,1.68,1.68,1.68,0.0151,0.60%,,N
14-Oct-2020,1.72,1.65,1.72,1.65,0.0517,2.38%,,N
21-Oct-2020,1.73,1.65,1.73,1.65,0.0048,0.58%,,
09-Nov-2020,1.75,1.7,1.75,1.6,0.0088,1.16%,,
13-Nov-2020,1.76,1.75,1.76,1.75,0.0032,0.57%,,
17-Nov-2020,1.76,1.71,1.76,1.71,0.0070999999999999995,0.00%,,
18-Nov-2020,1.8,1.77,1.82,1.77,0.036000000000000004,2.27%,0.01547,N
19-Nov-2020,1.85,1.85,1.85,1.85,-,2.78%,,
23-Nov-2020,1.73,1.72,1.73,1.7,0.024,-6.49%,,
24-Nov-2020,1.7,1.75,1.75,1.7,0.016,-1.73%,,
26-Nov-2020,1.75,1.7,1.75,1.7,0.0012,2.94%,,
