Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.71,0.705,0.72,0.705,0.1456,-1.39%,,N
29-Sep-2020,0.725,0.7,0.725,0.7,0.076,2.11%,,N
30-Sep-2020,0.71,0.71,0.71,0.71,0.025,-2.07%,,N
01-Oct-2020,0.72,0.74,0.74,0.705,0.2302,1.41%,,N
02-Oct-2020,0.74,0.72,0.74,0.71,1.89,2.78%,,N
05-Oct-2020,0.78,0.755,0.78,0.755,3.7,5.41%,,N
06-Oct-2020,0.7,0.785,0.825,0.7,6.91,-10.26%,,N
07-Oct-2020,0.685,0.7,0.715,0.68,1.94,-2.14%,,N
08-Oct-2020,0.685,0.69,0.705,0.675,0.7656000000000001,0.00%,,N
09-Oct-2020,0.68,0.695,0.695,0.675,0.4501,-0.73%,1.61325,N
12-Oct-2020,0.67,0.685,0.69,0.67,0.5017,-1.47%,1.6488599999999998,N
13-Oct-2020,0.63,0.67,0.67,0.625,0.6,-5.97%,1.70126,N
14-Oct-2020,0.6,0.62,0.62,0.58,1.36,-4.76%,1.83476,N
15-Oct-2020,0.595,0.6,0.6,0.57,0.7915,-0.83%,1.89089,N
16-Oct-2020,0.575,0.6,0.6,0.57,0.4192,-3.36%,1.7438099999999999,N
19-Oct-2020,0.57,0.57,0.57,0.535,1.08,-0.87%,1.4818099999999998,N
20-Oct-2020,0.615,0.575,0.695,0.575,2.77,7.89%,1.0678099999999997,N
21-Oct-2020,0.63,0.615,0.645,0.615,1.31,2.44%,1.0048099999999998,N
22-Oct-2020,0.615,0.63,0.63,0.59,0.19699999999999998,-2.38%,0.9479499999999998,N
23-Oct-2020,0.58,0.615,0.615,0.56,0.4146,-5.69%,0.9443999999999997,N
26-Oct-2020,0.58,0.575,0.585,0.575,0.1013,0.00%,0.9043599999999998,N
27-Oct-2020,0.61,0.585,0.62,0.585,0.0543,5.17%,0.8497899999999998,N
28-Oct-2020,0.6,0.58,0.61,0.565,0.08109999999999999,-1.64%,0.7218999999999997,N
30-Oct-2020,0.575,0.58,0.615,0.575,0.142,-4.17%,0.6569499999999997,N
02-Nov-2020,0.585,0.6,0.6,0.58,0.0832,1.74%,0.6233499999999996,N
03-Nov-2020,0.615,0.59,0.615,0.585,0.15930000000000002,5.13%,0.5312799999999996,N
04-Nov-2020,0.625,0.595,0.625,0.595,0.011000000000000001,1.63%,0.25537999999999966,N
05-Nov-2020,0.615,0.625,0.63,0.615,0.184,-1.60%,0.14277999999999968,N
06-Nov-2020,0.63,0.62,0.63,0.61,0.1318,2.44%,0.13625999999999966,N
09-Nov-2020,0.625,0.63,0.635,0.62,0.1704,-0.79%,0.11183999999999968,N
10-Nov-2020,0.65,0.625,0.665,0.62,0.4664,4.00%,0.14834999999999968,N
11-Nov-2020,0.67,0.65,0.675,0.64,0.6172000000000001,3.08%,0.20463999999999966,N
12-Nov-2020,0.65,0.67,0.675,0.65,0.2147,-2.99%,0.21799999999999967,N
13-Nov-2020,0.65,0.65,0.65,0.645,0.1727,0.00%,0.22106999999999966,N
16-Nov-2020,0.645,0.645,0.645,0.64,0.3221,-0.77%,0.24495999999999962,N
17-Nov-2020,0.645,0.65,0.65,0.635,0.2786,0.00%,0.2568899999999996,N
18-Nov-2020,0.655,0.65,0.665,0.65,0.0578,1.55%,0.2615699999999996,N
19-Nov-2020,0.655,0.655,0.66,0.65,0.0604,0.00%,0.24920999999999957,N
20-Nov-2020,0.66,0.655,0.66,0.655,0.0428,0.76%,0.24030999999999958,N
23-Nov-2020,0.65,0.66,0.66,0.645,0.2077,-1.52%,0.2440399999999996,N
24-Nov-2020,0.675,0.655,0.675,0.645,0.3643,3.85%,0.2338299999999996,N
25-Nov-2020,0.655,0.675,0.675,0.655,0.0644,-2.96%,0.1785499999999996,N
26-Nov-2020,0.655,0.65,0.655,0.65,0.149,0.00%,0.17197999999999958,N
