Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
16-Oct-2020,0.49,0.45,0.49,0.45,6.18,8.89%,,N
19-Oct-2020,0.5,0.495,0.515,0.48,5.56,2.04%,,N
20-Oct-2020,0.48,0.505,0.505,0.48,1.75,-4.00%,,N
21-Oct-2020,0.475,0.48,0.495,0.47,1.03,-1.04%,,N
22-Oct-2020,0.465,0.475,0.48,0.46,1.04,-2.11%,,N
23-Oct-2020,0.47,0.47,0.49,0.455,2.52,1.08%,,N
26-Oct-2020,0.455,0.465,0.475,0.45,1.32,-3.19%,,N
27-Oct-2020,0.46,0.46,0.47,0.455,0.3318,1.10%,,N
28-Oct-2020,0.455,0.46,0.46,0.45,0.6828,-1.09%,,N
30-Oct-2020,0.435,0.455,0.455,0.435,1.44,-4.40%,2.18546,N
02-Nov-2020,0.43,0.43,0.43,0.405,0.8787999999999999,-1.15%,1.65534,N
03-Nov-2020,0.44,0.43,0.445,0.425,0.3279,2.33%,1.13213,N
04-Nov-2020,0.46,0.445,0.475,0.44,1.26,4.55%,1.0831300000000001,N
05-Nov-2020,0.475,0.465,0.48,0.465,1.4,3.26%,1.12013,N
06-Nov-2020,0.47,0.485,0.485,0.465,0.6862999999999999,-1.05%,1.08476,N
09-Nov-2020,0.48,0.46,0.49,0.46,2.48,2.13%,1.0807600000000002,N
10-Nov-2020,0.465,0.48,0.48,0.465,0.53,-3.12%,1.00176,N
11-Nov-2020,0.465,0.465,0.475,0.465,1.23,0.00%,1.09158,N
12-Nov-2020,0.47,0.46,0.475,0.46,0.7108,1.08%,1.0943800000000001,N
13-Nov-2020,0.5,0.47,0.5,0.47,3.71,6.38%,1.32138,N
16-Nov-2020,0.49,0.5,0.51,0.485,2.06,-2.00%,1.4395000000000002,N
17-Nov-2020,0.495,0.48,0.495,0.47,0.9534,1.02%,1.50205,N
18-Nov-2020,0.48,0.495,0.495,0.475,0.5781000000000001,-3.03%,1.4338600000000001,N
19-Nov-2020,0.475,0.48,0.485,0.475,0.5911000000000001,-1.04%,1.3529700000000002,N
20-Nov-2020,0.47,0.47,0.485,0.47,0.4404,-1.05%,1.3283800000000003,N
23-Nov-2020,0.475,0.47,0.475,0.465,0.2439,1.06%,1.1047700000000003,N
24-Nov-2020,0.465,0.465,0.47,0.46,0.5377000000000001,-2.11%,1.1055400000000004,N
25-Nov-2020,0.47,0.465,0.48,0.465,0.4636,1.08%,1.0289000000000004,N
