Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.86,0.785,0.88,0.785,4.39,10.97%,,N
29-Sep-2020,0.83,0.86,0.895,0.825,2.81,-3.49%,,N
30-Sep-2020,0.885,0.825,0.92,0.825,6.1,6.63%,,N
01-Oct-2020,0.96,0.905,0.975,0.885,5.55,8.47%,,N
02-Oct-2020,0.915,0.95,0.965,0.9,2.63,-4.69%,,N
05-Oct-2020,0.995,0.92,1.01,0.91,5.25,8.74%,,N
06-Oct-2020,0.94,1.0,1.02,0.91,3.16,-5.53%,,N
07-Oct-2020,0.935,0.94,0.97,0.935,2.42,-0.53%,,N
08-Oct-2020,0.905,0.935,0.94,0.9,1.78,-3.21%,,N
09-Oct-2020,0.925,0.92,0.945,0.905,1.4,2.21%,3.5489999999999995,N
12-Oct-2020,0.94,0.925,0.97,0.92,3.54,1.62%,3.4639999999999995,N
13-Oct-2020,0.91,0.935,0.935,0.905,1.84,-3.19%,3.3669999999999995,N
14-Oct-2020,0.87,0.91,0.91,0.85,4.03,-4.40%,3.1599999999999993,N
15-Oct-2020,0.9,0.89,0.915,0.87,2.36,3.45%,2.8409999999999993,N
16-Oct-2020,0.975,0.92,1.07,0.92,21.82,8.33%,4.759999999999999,N
19-Oct-2020,0.98,1.0,1.01,0.97,2.56,0.51%,4.490999999999999,N
20-Oct-2020,0.91,0.97,0.97,0.91,3.93,-7.14%,4.568,N
21-Oct-2020,0.91,0.92,0.96,0.905,2.98,0.00%,4.623999999999999,N
22-Oct-2020,0.91,0.92,0.92,0.865,1.9,0.00%,4.635999999999998,N
23-Oct-2020,0.865,0.91,0.94,0.855,2.81,-4.95%,4.776999999999999,N
26-Oct-2020,0.82,0.87,0.87,0.815,1.83,-5.20%,4.605999999999999,N
27-Oct-2020,0.82,0.81,0.83,0.805,0.5871000000000001,0.00%,4.480709999999998,N
28-Oct-2020,0.745,0.82,0.82,0.74,2.36,-9.15%,4.313709999999999,N
30-Oct-2020,0.74,0.73,0.795,0.72,3.17,-0.67%,4.394709999999998,N
02-Nov-2020,0.725,0.74,0.74,0.705,0.6222000000000001,-2.03%,2.2749299999999986,N
03-Nov-2020,0.75,0.715,0.76,0.715,1.42,3.45%,2.1609299999999987,N
04-Nov-2020,0.765,0.765,0.785,0.75,1.44,2.00%,1.9119299999999988,N
05-Nov-2020,0.81,0.78,0.82,0.775,3.42,5.88%,1.955929999999999,N
06-Nov-2020,0.795,0.81,0.81,0.78,1.18,-1.85%,1.883929999999999,N
09-Nov-2020,0.79,0.8,0.82,0.79,1.43,-0.63%,1.745929999999999,N
10-Nov-2020,0.765,0.79,0.795,0.755,1.03,-3.16%,1.6659299999999995,N
11-Nov-2020,0.79,0.755,0.795,0.755,0.6287999999999999,3.27%,1.6700999999999993,N
12-Nov-2020,0.81,0.795,0.815,0.795,1.08,2.53%,1.5420999999999991,N
13-Nov-2020,0.8,0.805,0.835,0.795,1.37,-1.23%,1.3620999999999994,N
16-Nov-2020,0.78,0.8,0.8,0.77,0.536,-2.50%,1.3534799999999994,N
17-Nov-2020,0.785,0.78,0.805,0.755,1.44,0.64%,1.3554799999999994,N
18-Nov-2020,0.775,0.785,0.79,0.765,0.3384,-1.27%,1.2453199999999993,N
19-Nov-2020,0.755,0.765,0.78,0.755,0.5149,-2.58%,0.9548099999999995,N
20-Nov-2020,0.745,0.76,0.76,0.74,1.18,-1.32%,0.9548099999999995,N
23-Nov-2020,0.75,0.75,0.765,0.745,0.5857,0.67%,0.8703799999999994,N
24-Nov-2020,0.73,0.745,0.745,0.73,0.5436,-3.31%,0.8217399999999995,N
25-Nov-2020,0.735,0.725,0.74,0.725,0.32930000000000004,0.68%,0.7917899999999994,N
26-Nov-2020,0.74,0.73,0.74,0.725,0.3636,0.68%,0.7201499999999994,N
