Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.705,0.685,0.715,0.685,0.1961,3.68%,,N
29-Sep-2020,0.735,0.715,0.78,0.715,0.2473,4.26%,,N
30-Sep-2020,0.765,0.74,0.805,0.74,0.9840000000000001,4.08%,,N
01-Oct-2020,0.75,0.765,0.765,0.735,0.16899999999999998,-1.96%,,N
02-Oct-2020,0.755,0.765,0.765,0.745,0.15080000000000002,0.67%,,N
05-Oct-2020,0.75,0.755,0.755,0.73,0.16069999999999998,-0.66%,,N
06-Oct-2020,0.75,0.75,0.775,0.75,0.2813,0.00%,,N
07-Oct-2020,0.75,0.75,0.75,0.75,0.011000000000000001,0.00%,,N
08-Oct-2020,0.75,0.75,0.75,0.75,0.012,0.00%,,N
09-Oct-2020,0.77,0.75,0.77,0.75,0.0668,2.67%,0.22790000000000005,N
12-Oct-2020,0.78,0.765,0.79,0.76,0.2448,1.30%,0.23277000000000006,N
13-Oct-2020,0.795,0.78,0.83,0.78,0.4314,1.92%,0.25118000000000007,N
14-Oct-2020,0.78,0.795,0.795,0.78,0.0518,-1.89%,0.15796000000000004,N
15-Oct-2020,0.78,0.79,0.79,0.78,0.0912,0.00%,0.15018000000000004,N
16-Oct-2020,0.78,0.78,0.795,0.765,0.1132,0.00%,0.14642000000000005,N
19-Oct-2020,0.79,0.79,0.79,0.78,0.1365,1.28%,0.14400000000000004,N
20-Oct-2020,0.785,0.8,0.8,0.78,0.0818,-0.63%,0.12405000000000004,N
21-Oct-2020,0.79,0.785,0.8,0.785,0.0915,0.64%,0.13210000000000005,N
22-Oct-2020,0.78,0.785,0.795,0.77,0.1085,-1.27%,0.14175000000000004,N
23-Oct-2020,0.755,0.77,0.79,0.755,0.2508,-3.21%,0.16015000000000004,N
26-Oct-2020,0.745,0.755,0.775,0.745,0.2266,-1.32%,0.15833000000000003,N
27-Oct-2020,0.755,0.75,0.76,0.75,0.06,1.34%,0.12119000000000005,N
28-Oct-2020,0.76,0.76,0.775,0.755,0.0531,0.66%,0.12132000000000003,N
30-Oct-2020,0.75,0.76,0.76,0.75,0.0852,-1.32%,0.12072000000000002,N
02-Nov-2020,0.745,0.745,0.75,0.73,0.2637,-0.67%,0.13577000000000003,N
03-Nov-2020,0.75,0.73,0.75,0.73,0.0543,0.67%,0.12755000000000002,N
04-Nov-2020,0.755,0.755,0.76,0.755,0.0414,0.67%,0.12351000000000004,N
05-Nov-2020,0.76,0.765,0.765,0.76,0.032,0.66%,0.11756000000000004,N
06-Nov-2020,0.765,0.76,0.775,0.76,0.0414,0.66%,0.11085000000000005,N
09-Nov-2020,0.75,0.765,0.765,0.75,0.063,-1.96%,0.09207000000000004,N
10-Nov-2020,0.77,0.75,0.78,0.75,0.0901,2.67%,0.07842000000000003,N
11-Nov-2020,0.77,0.77,0.78,0.77,0.0697,0.00%,0.07939000000000003,N
12-Nov-2020,0.77,0.77,0.77,0.77,0.0153,0.00%,0.07561000000000002,N
13-Nov-2020,0.795,0.775,0.795,0.775,0.18100000000000002,3.25%,0.08519000000000003,N
16-Nov-2020,0.8,0.79,0.8,0.79,0.1122,0.63%,0.07004000000000003,N
17-Nov-2020,0.79,0.8,0.815,0.79,0.151,-1.25%,0.07971000000000003,N
18-Nov-2020,0.81,0.79,0.81,0.79,0.0682,2.53%,0.08239000000000005,N
19-Nov-2020,0.805,0.81,0.81,0.8,0.0689,-0.62%,0.08608000000000003,N
20-Nov-2020,0.815,0.81,0.815,0.8,0.106,1.24%,0.09254000000000004,N
23-Nov-2020,0.835,0.815,0.85,0.815,0.1168,2.45%,0.09792000000000003,N
24-Nov-2020,0.815,0.835,0.835,0.8,0.1058,-2.40%,0.09949000000000005,N
25-Nov-2020,0.84,0.815,0.845,0.815,0.0665,3.07%,0.09917000000000004,N
26-Nov-2020,0.81,0.805,0.815,0.805,0.019,-3.57%,0.09954000000000005,N
