Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
16-Oct-2020,0.44,0.44,0.44,0.44,0.0328,0.00%,,N
19-Oct-2020,0.415,0.42,0.42,0.4,1.07,-5.68%,,N
20-Oct-2020,0.415,0.415,0.415,0.41,0.1039,0.00%,,N
21-Oct-2020,0.43,0.41,0.45,0.41,2.12,3.61%,,N
22-Oct-2020,0.445,0.43,0.495,0.43,4.55,3.49%,,N
23-Oct-2020,0.455,0.46,0.47,0.445,0.5007,2.25%,,N
26-Oct-2020,0.415,0.455,0.455,0.415,0.4913,-8.79%,,N
27-Oct-2020,0.43,0.415,0.43,0.415,0.1927,3.61%,,N
28-Oct-2020,0.43,0.42,0.43,0.41,0.1298,0.00%,,N
30-Oct-2020,0.405,0.43,0.43,0.405,0.3429,-5.81%,0.9534100000000001,N
02-Nov-2020,0.415,0.405,0.415,0.405,0.0991,2.47%,0.96004,N
03-Nov-2020,0.415,0.415,0.415,0.41,0.0581,0.00%,0.85885,N
04-Nov-2020,0.43,0.41,0.43,0.41,0.1466,3.61%,0.86312,N
05-Nov-2020,0.455,0.43,0.47,0.425,0.44799999999999995,5.81%,0.69592,N
06-Nov-2020,0.47,0.46,0.48,0.45,0.4451,3.30%,0.28543,N
09-Nov-2020,0.505,0.47,0.525,0.47,2.39,7.45%,0.47436000000000006,Y
10-Nov-2020,0.535,0.53,0.56,0.51,2.21,5.94%,0.6462300000000001,N
11-Nov-2020,0.53,0.545,0.545,0.515,0.2332,-0.93%,0.6502800000000001,N
12-Nov-2020,0.535,0.54,0.55,0.53,0.6033,0.94%,0.69763,N
13-Nov-2020,0.53,0.535,0.535,0.53,0.0127,-0.93%,0.6646099999999999,N
16-Nov-2020,0.54,0.54,0.565,0.54,0.5529,1.89%,0.70999,N
17-Nov-2020,0.53,0.54,0.54,0.525,0.2928,-1.85%,0.73346,N
18-Nov-2020,0.515,0.525,0.525,0.515,0.1765,-2.83%,0.7364499999999999,N
19-Nov-2020,0.535,0.535,0.535,0.515,0.0282,3.88%,0.6944699999999999,N
23-Nov-2020,0.515,0.52,0.52,0.515,0.0037,-3.74%,0.65033,N
24-Nov-2020,0.505,0.52,0.53,0.505,0.3919,-1.94%,0.45051999999999987,N
25-Nov-2020,0.485,0.51,0.51,0.485,0.4425,-3.96%,0.27376999999999985,N
