Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.375,0.375,0.375,0.375,-,-8.54%
"Aug 28, 2020",0.410,0.410,0.410,0.410,10.00K,-1.20%
"Aug 24, 2020",0.415,0.375,0.415,0.375,27.00K,12.16%
"Aug 21, 2020",0.370,0.370,0.370,0.370,15.00K,-11.90%
"Aug 17, 2020",0.420,0.420,0.420,0.420,2.00K,13.51%
"Aug 14, 2020",0.370,0.370,0.370,0.370,5.00K,-1.33%
"Aug 13, 2020",0.375,0.420,0.420,0.375,18.60K,-11.76%
"Aug 10, 2020",0.425,0.425,0.425,0.425,10.00K,0.00%
"Aug 07, 2020",0.425,0.380,0.425,0.380,20.00K,8.97%
"Aug 06, 2020",0.390,0.380,0.390,0.380,32.00K,-9.30%
