Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.160,0.155,0.165,0.155,1.18M,3.23%
"Aug 28, 2020",0.155,0.165,0.170,0.155,5.79M,-3.12%
"Aug 27, 2020",0.160,0.155,0.170,0.150,14.59M,3.23%
"Aug 26, 2020",0.155,0.145,0.155,0.140,6.68M,3.33%
"Aug 25, 2020",0.150,0.155,0.155,0.145,2.07M,-3.23%
"Aug 24, 2020",0.155,0.150,0.160,0.145,5.46M,3.33%
"Aug 21, 2020",0.150,0.135,0.155,0.135,10.13M,11.11%
"Aug 19, 2020",0.135,0.140,0.145,0.135,3.16M,-3.57%
"Aug 18, 2020",0.140,0.150,0.150,0.140,4.61M,-6.67%
"Aug 17, 2020",0.150,0.145,0.150,0.145,6.01M,3.45%
"Aug 14, 2020",0.145,0.155,0.155,0.140,11.29M,-6.45%
"Aug 13, 2020",0.155,0.155,0.165,0.150,8.53M,3.33%
"Aug 12, 2020",0.150,0.170,0.170,0.140,12.17M,-11.76%
"Aug 11, 2020",0.170,0.170,0.180,0.165,11.21M,0.00%
"Aug 10, 2020",0.170,0.170,0.180,0.165,9.48M,3.03%
"Aug 07, 2020",0.165,0.190,0.190,0.165,20.35M,-8.33%
"Aug 06, 2020",0.180,0.150,0.180,0.150,23.62M,20.00%
"Aug 05, 2020",0.150,0.155,0.155,0.145,9.93M,0.00%
"Aug 04, 2020",0.150,0.155,0.160,0.145,16.46M,0.00%
"Aug 03, 2020",0.150,0.140,0.155,0.135,35.24M,11.11%
