Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",1.600,1.570,1.600,1.560,160.00K,1.91%
"Nov 25, 2020",1.570,1.600,1.600,1.570,491.60K,-0.63%
"Nov 24, 2020",1.580,1.610,1.610,1.570,219.60K,-0.63%
"Nov 23, 2020",1.590,1.590,1.610,1.580,245.80K,0.00%
"Nov 20, 2020",1.590,1.590,1.610,1.550,460.60K,0.00%
"Nov 19, 2020",1.590,1.610,1.610,1.560,586.80K,-1.24%
"Nov 18, 2020",1.610,1.630,1.640,1.570,699.50K,-1.23%
"Nov 17, 2020",1.630,1.630,1.690,1.620,2.14M,1.87%
"Nov 16, 2020",1.600,1.510,1.620,1.510,2.12M,7.38%
"Nov 13, 2020",1.490,1.480,1.510,1.460,424.30K,0.00%
"Nov 12, 2020",1.490,1.430,1.500,1.430,477.60K,2.05%
"Nov 11, 2020",1.460,1.470,1.470,1.420,300.20K,0.00%
"Nov 10, 2020",1.460,1.410,1.470,1.410,1.13M,5.04%
"Nov 09, 2020",1.390,1.420,1.420,1.380,99.20K,-0.71%
"Nov 06, 2020",1.400,1.400,1.420,1.390,223.80K,0.72%
"Nov 05, 2020",1.390,1.380,1.400,1.380,328.10K,1.46%
"Nov 04, 2020",1.370,1.360,1.390,1.350,194.40K,1.48%
"Nov 03, 2020",1.350,1.350,1.370,1.350,375.10K,0.00%
"Nov 02, 2020",1.350,1.370,1.370,1.350,251.10K,-1.46%
"Oct 30, 2020",1.370,1.380,1.380,1.360,283.00K,-0.72%
"Oct 28, 2020",1.380,1.390,1.390,1.370,74.60K,0.00%
"Oct 27, 2020",1.380,1.380,1.390,1.370,84.70K,0.00%
"Oct 26, 2020",1.380,1.380,1.390,1.380,124.30K,0.00%
