Date,Price,Open,High,Low,Vol.,Change %
"Sep 15, 2020",0.085,0.090,0.090,0.085,38.89M,-5.56%
"Sep 14, 2020",0.090,0.085,0.090,0.085,52.52M,12.50%
"Sep 11, 2020",0.080,0.080,0.085,0.075,28.35M,-5.88%
"Sep 10, 2020",0.085,0.090,0.090,0.075,113.73M,0.00%
"Sep 09, 2020",0.085,0.090,0.090,0.085,14.97M,-5.56%
"Sep 08, 2020",0.090,0.090,0.095,0.085,33.67M,0.00%
"Sep 07, 2020",0.090,0.095,0.095,0.090,31.78M,-5.26%
"Sep 04, 2020",0.095,0.095,0.095,0.090,22.48M,5.56%
"Sep 03, 2020",0.090,0.095,0.100,0.090,20.95M,-5.26%
"Sep 02, 2020",0.095,0.100,0.100,0.090,41.47M,0.00%
"Sep 01, 2020",0.095,0.095,0.100,0.090,48.77M,5.56%
"Aug 28, 2020",0.090,0.095,0.100,0.090,89.72M,0.00%
"Aug 27, 2020",0.090,0.090,0.095,0.090,32.66M,-5.26%
"Aug 26, 2020",0.095,0.095,0.095,0.090,26.86M,5.56%
"Aug 25, 2020",0.090,0.095,0.100,0.090,296.43M,0.00%
"Aug 24, 2020",0.090,0.095,0.100,0.090,57.01M,-5.26%
"Aug 21, 2020",0.095,0.095,0.100,0.090,126.74M,5.56%
"Aug 19, 2020",0.090,0.095,0.100,0.090,69.73M,-10.00%
"Aug 18, 2020",0.100,0.085,0.100,0.080,213.57M,17.65%
"Aug 17, 2020",0.085,0.090,0.095,0.085,136.41M,-5.56%
