Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.135,0.130,0.145,0.130,1.30M,0.00%
"Aug 28, 2020",0.135,0.135,0.135,0.130,2.26M,0.00%
"Aug 27, 2020",0.135,0.135,0.150,0.125,12.59M,3.85%
"Aug 26, 2020",0.130,0.125,0.140,0.125,3.96M,0.00%
"Aug 25, 2020",0.130,0.130,0.135,0.125,7.53M,0.00%
"Aug 24, 2020",0.130,0.115,0.140,0.110,26.01M,13.04%
"Aug 21, 2020",0.115,0.105,0.115,0.100,2.53M,9.52%
"Aug 19, 2020",0.105,0.110,0.115,0.100,937.10K,-4.55%
"Aug 18, 2020",0.110,0.125,0.125,0.100,4.68M,-8.33%
"Aug 17, 2020",0.120,0.095,0.125,0.095,8.64M,33.33%
"Aug 14, 2020",0.090,0.100,0.100,0.090,845.00K,-10.00%
"Aug 13, 2020",0.100,0.090,0.105,0.090,1.77M,11.11%
"Aug 12, 2020",0.090,0.090,0.090,0.085,511.50K,0.00%
"Aug 11, 2020",0.090,0.095,0.095,0.090,1.10M,0.00%
"Aug 10, 2020",0.090,0.090,0.090,0.090,338.70K,0.00%
"Aug 07, 2020",0.090,0.090,0.090,0.085,244.00K,0.00%
"Aug 06, 2020",0.090,0.090,0.090,0.090,30.00K,-5.26%
"Aug 05, 2020",0.095,0.080,0.100,0.080,1.25M,18.75%
"Aug 03, 2020",0.080,0.085,0.085,0.080,212.50K,-5.88%
