Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.43,0.42,0.44,0.41,1.97M,0.00%
"Aug 28, 2020",0.43,0.43,0.43,0.41,1.75M,0.00%
"Aug 27, 2020",0.43,0.44,0.44,0.41,2.36M,-2.30%
"Aug 26, 2020",0.44,0.43,0.45,0.42,5.35M,2.35%
"Aug 25, 2020",0.43,0.46,0.47,0.41,5.54M,-4.49%
"Aug 24, 2020",0.44,0.44,0.44,0.41,4.58M,3.49%
"Aug 21, 2020",0.43,0.44,0.45,0.43,2.83M,0.00%
"Aug 19, 2020",0.43,0.47,0.47,0.43,4.29M,-8.51%
"Aug 18, 2020",0.47,0.38,0.47,0.38,17.43M,20.51%
"Aug 17, 2020",0.39,0.41,0.41,0.38,6.68M,-2.50%
"Aug 14, 2020",0.40,0.41,0.42,0.40,4.61M,-5.88%
"Aug 13, 2020",0.43,0.45,0.47,0.41,4.86M,-3.41%
"Aug 12, 2020",0.44,0.49,0.49,0.38,10.90M,-10.20%
"Aug 11, 2020",0.49,0.53,0.55,0.47,9.56M,-5.77%
"Aug 10, 2020",0.52,0.54,0.57,0.51,9.64M,-1.89%
"Aug 07, 2020",0.53,0.57,0.64,0.52,46.14M,-5.36%
"Aug 06, 2020",0.56,0.54,0.61,0.52,33.88M,4.67%
"Aug 05, 2020",0.54,0.54,0.57,0.50,17.84M,0.94%
"Aug 04, 2020",0.53,0.60,0.63,0.50,32.33M,-9.40%
"Aug 03, 2020",0.58,0.54,0.59,0.52,52.82M,14.71%
