Date,Price,Open,High,Low,Vol.,Change %
"Sep 15, 2020",0.675,0.635,0.685,0.625,26.04M,8.00%
"Sep 14, 2020",0.625,0.620,0.645,0.615,8.04M,0.81%
"Sep 11, 2020",0.620,0.610,0.630,0.595,7.66M,0.81%
"Sep 10, 2020",0.615,0.650,0.655,0.600,8.93M,-4.65%
"Sep 09, 2020",0.645,0.605,0.660,0.600,15.61M,1.57%
"Sep 08, 2020",0.635,0.655,0.660,0.590,17.55M,-2.31%
"Sep 07, 2020",0.650,0.695,0.695,0.630,17.93M,-4.41%
"Sep 04, 2020",0.680,0.660,0.695,0.650,18.54M,-1.45%
"Sep 03, 2020",0.690,0.720,0.725,0.675,13.09M,-3.50%
"Sep 02, 2020",0.715,0.695,0.730,0.690,23.37M,4.38%
"Sep 01, 2020",0.685,0.705,0.720,0.680,11.14M,-2.84%
"Aug 28, 2020",0.705,0.700,0.720,0.695,8.00M,0.71%
"Aug 27, 2020",0.700,0.755,0.755,0.700,14.64M,-6.04%
"Aug 26, 2020",0.745,0.685,0.755,0.680,40.72M,7.97%
"Aug 25, 2020",0.690,0.725,0.735,0.675,17.46M,-4.17%
"Aug 24, 2020",0.720,0.750,0.755,0.710,17.95M,-2.04%
"Aug 21, 2020",0.735,0.755,0.785,0.730,41.27M,-1.34%
"Aug 19, 2020",0.745,0.705,0.775,0.670,65.24M,6.43%
"Aug 18, 2020",0.700,0.655,0.715,0.645,42.47M,6.87%
"Aug 17, 2020",0.655,0.635,0.685,0.615,25.56M,1.55%
