Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",9.14,9.29,9.29,9.07,18.00K,1.11%
"Aug 28, 2020",9.04,9.32,9.42,9.04,343.70K,-2.69%
"Aug 27, 2020",9.29,9.20,9.50,9.15,460.10K,1.31%
"Aug 26, 2020",9.17,9.05,9.17,9.05,80.00K,1.33%
"Aug 25, 2020",9.05,9.06,9.08,9.00,63.40K,-0.11%
"Aug 24, 2020",9.06,9.20,9.20,9.06,7.30K,0.67%
"Aug 21, 2020",9.00,9.07,9.14,8.99,42.70K,-1.53%
"Aug 19, 2020",9.14,9.02,9.15,8.99,52.50K,1.56%
"Aug 18, 2020",9.00,8.99,9.05,8.86,160.10K,0.67%
"Aug 17, 2020",8.94,8.88,8.94,8.87,40.10K,0.68%
"Aug 14, 2020",8.88,8.99,8.99,8.81,160.30K,-1.33%
"Aug 13, 2020",9.00,8.96,9.08,8.80,151.00K,0.56%
"Aug 12, 2020",8.95,8.75,8.99,8.67,165.80K,2.52%
"Aug 11, 2020",8.73,8.80,8.80,8.73,206.20K,-0.80%
"Aug 10, 2020",8.80,8.82,8.88,8.80,121.00K,0.00%
"Aug 07, 2020",8.80,8.93,8.99,8.80,220.20K,-1.46%
"Aug 06, 2020",8.93,8.99,8.99,8.93,161.10K,-0.67%
"Aug 05, 2020",8.99,9.00,9.00,8.95,119.90K,-0.11%
"Aug 04, 2020",9.00,9.00,9.02,8.94,128.30K,0.00%
"Aug 03, 2020",9.00,9.16,9.17,8.94,449.10K,-2.17%
