Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.235,0.240,0.240,0.230,1.52M,0.00%
"Aug 28, 2020",0.235,0.250,0.255,0.235,6.14M,-4.08%
"Aug 27, 2020",0.245,0.245,0.270,0.240,31.20M,8.89%
"Aug 26, 2020",0.225,0.220,0.235,0.215,5.34M,2.27%
"Aug 25, 2020",0.220,0.220,0.225,0.215,1.91M,2.33%
"Aug 24, 2020",0.215,0.220,0.220,0.215,1.43M,-2.27%
"Aug 21, 2020",0.220,0.215,0.220,0.215,907.50K,2.33%
"Aug 19, 2020",0.215,0.205,0.225,0.205,5.43M,4.88%
"Aug 18, 2020",0.205,0.220,0.220,0.205,3.31M,-6.82%
"Aug 17, 2020",0.220,0.230,0.230,0.215,680.30K,-4.35%
"Aug 14, 2020",0.230,0.260,0.265,0.220,12.82M,-6.12%
"Aug 13, 2020",0.245,0.205,0.245,0.200,15.79M,19.51%
"Aug 12, 2020",0.205,0.200,0.205,0.195,1.53M,2.50%
"Aug 11, 2020",0.200,0.195,0.205,0.195,1.99M,2.56%
"Aug 10, 2020",0.195,0.200,0.200,0.190,1.78M,-2.50%
"Aug 07, 2020",0.200,0.195,0.200,0.195,2.54M,2.56%
"Aug 06, 2020",0.195,0.195,0.200,0.195,2.02M,0.00%
"Aug 05, 2020",0.195,0.195,0.205,0.190,3.21M,0.00%
"Aug 04, 2020",0.195,0.200,0.200,0.190,1.28M,0.00%
"Aug 03, 2020",0.195,0.200,0.200,0.190,2.01M,-4.88%
