Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",16.50,16.32,16.60,16.32,3.70K,0.00%
"Aug 28, 2020",16.50,16.52,16.52,16.30,20.60K,-0.84%
"Aug 27, 2020",16.64,16.56,16.68,16.52,17.80K,-0.60%
"Aug 26, 2020",16.74,16.54,16.84,16.54,6.20K,-0.59%
"Aug 25, 2020",16.84,16.78,16.86,16.64,22.40K,0.36%
"Aug 24, 2020",16.78,16.80,16.80,16.60,21.20K,0.00%
"Aug 21, 2020",16.78,16.28,16.80,16.28,48.20K,3.71%
"Aug 19, 2020",16.18,16.00,16.28,16.00,46.70K,1.76%
"Aug 18, 2020",15.90,15.50,16.00,15.50,104.00K,5.02%
"Aug 17, 2020",15.14,15.08,15.18,15.08,10.20K,-0.13%
"Aug 14, 2020",15.16,15.28,15.28,15.14,18.10K,0.40%
"Aug 13, 2020",15.10,14.88,15.20,14.88,12.70K,1.34%
"Aug 12, 2020",14.90,15.00,15.00,14.84,28.30K,-0.67%
"Aug 11, 2020",15.00,15.06,15.06,14.96,11.50K,0.00%
"Aug 10, 2020",15.00,15.00,15.20,15.00,19.10K,0.00%
"Aug 07, 2020",15.00,15.00,15.10,14.98,13.10K,0.27%
"Aug 06, 2020",14.96,15.00,15.00,14.92,18.60K,-0.27%
"Aug 05, 2020",15.00,14.90,15.30,14.90,11.40K,0.54%
"Aug 04, 2020",14.92,15.00,15.00,14.90,28.90K,-0.53%
"Aug 03, 2020",15.00,15.18,15.30,14.98,31.50K,-1.45%
