Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.100,0.105,0.105,0.100,3.50M,0.00%
"Aug 28, 2020",0.100,0.100,0.105,0.095,14.16M,0.00%
"Aug 27, 2020",0.100,0.105,0.105,0.100,20.03M,0.00%
"Aug 26, 2020",0.100,0.105,0.110,0.100,29.58M,0.00%
"Aug 25, 2020",0.100,0.105,0.110,0.100,19.50M,0.00%
"Aug 24, 2020",0.100,0.100,0.110,0.100,43.29M,-4.76%
"Aug 21, 2020",0.105,0.100,0.105,0.100,14.94M,0.00%
"Aug 19, 2020",0.105,0.105,0.105,0.100,21.93M,5.00%
"Aug 18, 2020",0.100,0.100,0.105,0.095,31.70M,0.00%
"Aug 17, 2020",0.100,0.095,0.110,0.095,55.30M,5.26%
"Aug 14, 2020",0.095,0.110,0.110,0.095,66.34M,-13.64%
"Aug 13, 2020",0.110,0.120,0.120,0.105,74.25M,-4.35%
"Aug 12, 2020",0.115,0.115,0.120,0.095,192.32M,-11.54%
"Aug 11, 2020",0.130,0.095,0.130,0.090,494.27M,36.84%
"Aug 10, 2020",0.095,0.095,0.100,0.090,59.57M,5.56%
"Aug 07, 2020",0.090,0.095,0.095,0.090,23.91M,-5.26%
"Aug 06, 2020",0.095,0.095,0.100,0.090,50.32M,5.56%
"Aug 05, 2020",0.090,0.090,0.095,0.085,57.86M,5.88%
"Aug 04, 2020",0.085,0.085,0.085,0.080,27.36M,6.25%
"Aug 03, 2020",0.080,0.085,0.090,0.080,27.36M,-5.88%
