Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",2.150,2.190,2.200,2.140,781.40K,-1.83%
"Aug 28, 2020",2.190,2.180,2.210,2.170,2.12M,2.34%
"Aug 27, 2020",2.140,2.140,2.140,2.120,371.00K,0.00%
"Aug 26, 2020",2.140,2.130,2.140,2.120,391.80K,0.94%
"Aug 25, 2020",2.120,2.140,2.140,2.110,1.04M,-0.47%
"Aug 24, 2020",2.130,2.130,2.140,2.120,654.30K,0.47%
"Aug 21, 2020",2.120,2.130,2.130,2.120,1.18M,0.00%
"Aug 19, 2020",2.120,2.130,2.140,2.120,814.90K,-0.47%
"Aug 18, 2020",2.130,2.130,2.140,2.110,1.94M,-0.47%
"Aug 17, 2020",2.140,2.130,2.140,2.120,608.40K,0.47%
"Aug 14, 2020",2.130,2.200,2.200,2.130,1.58M,-3.18%
"Aug 13, 2020",2.200,2.150,2.200,2.150,990.90K,2.80%
"Aug 12, 2020",2.140,2.120,2.150,2.110,1.62M,1.42%
"Aug 11, 2020",2.110,2.110,2.120,2.100,1.46M,0.00%
"Aug 10, 2020",2.110,2.130,2.130,2.110,2.24M,-0.47%
"Aug 07, 2020",2.120,2.130,2.140,2.120,2.79M,-0.93%
"Aug 06, 2020",2.140,2.140,2.140,2.110,1.10M,-0.47%
"Aug 05, 2020",2.150,2.120,2.150,2.110,641.10K,0.94%
"Aug 04, 2020",2.130,2.110,2.130,2.100,1.39M,0.95%
"Aug 03, 2020",2.110,2.140,2.140,2.110,1.60M,-1.40%
