Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",13.98,14.04,14.04,13.88,50.90K,-0.29%
"Aug 28, 2020",14.02,13.84,14.30,13.82,252.00K,4.01%
"Aug 27, 2020",13.48,13.26,13.58,13.26,47.70K,1.81%
"Aug 26, 2020",13.24,13.20,13.26,13.20,17.00K,0.30%
"Aug 25, 2020",13.20,13.10,13.20,13.06,114.30K,0.61%
"Aug 24, 2020",13.12,13.26,13.26,13.10,80.30K,0.15%
"Aug 21, 2020",13.10,13.12,13.20,13.06,342.70K,-0.15%
"Aug 19, 2020",13.12,13.18,13.18,13.08,79.90K,-0.46%
"Aug 18, 2020",13.18,13.30,13.30,13.12,140.60K,0.61%
"Aug 17, 2020",13.10,13.08,13.16,13.08,60.90K,0.00%
"Aug 14, 2020",13.10,13.08,13.14,13.08,55.60K,-0.15%
"Aug 13, 2020",13.12,13.36,13.36,13.10,78.10K,0.15%
"Aug 12, 2020",13.10,13.10,13.10,13.04,33.00K,0.15%
"Aug 11, 2020",13.08,13.28,13.28,13.06,82.90K,-1.65%
"Aug 10, 2020",13.30,13.10,13.30,13.04,34.20K,1.53%
"Aug 07, 2020",13.10,13.12,13.22,13.06,132.30K,-0.15%
"Aug 06, 2020",13.12,13.20,13.58,13.12,236.60K,-0.61%
"Aug 05, 2020",13.20,13.12,13.26,13.10,66.70K,0.76%
"Aug 04, 2020",13.10,13.18,13.28,13.08,143.70K,-0.61%
"Aug 03, 2020",13.18,13.58,13.58,13.12,177.90K,-1.64%
