Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.660,0.660,0.660,0.660,-,0.00%
"Aug 28, 2020",0.660,0.665,0.665,0.660,71.10K,-0.75%
"Aug 27, 2020",0.665,0.665,0.670,0.665,78.30K,0.00%
"Aug 26, 2020",0.665,0.690,0.690,0.665,92.30K,-1.48%
"Aug 25, 2020",0.675,0.675,0.675,0.675,100.00K,-0.74%
"Aug 24, 2020",0.680,0.690,0.700,0.680,41.00K,-0.73%
"Aug 21, 2020",0.685,0.685,0.685,0.685,40.80K,0.00%
"Aug 19, 2020",0.685,0.685,0.685,0.680,13.70K,0.00%
"Aug 18, 2020",0.685,0.695,0.695,0.685,5.60K,-2.14%
"Aug 17, 2020",0.700,0.700,0.700,0.695,50.90K,0.00%
"Aug 14, 2020",0.700,0.700,0.700,0.700,20.00K,0.00%
"Aug 13, 2020",0.700,0.700,0.705,0.700,38.70K,0.00%
"Aug 12, 2020",0.700,0.700,0.700,0.700,1.00K,0.00%
"Aug 11, 2020",0.700,0.705,0.705,0.700,63.50K,-0.71%
"Aug 10, 2020",0.705,0.705,0.705,0.705,1.00K,0.71%
"Aug 07, 2020",0.700,0.700,0.705,0.700,45.00K,0.00%
"Aug 06, 2020",0.700,0.700,0.700,0.700,14.60K,0.00%
"Aug 05, 2020",0.700,0.705,0.705,0.700,60.00K,-0.71%
"Aug 04, 2020",0.705,0.710,0.710,0.705,14.40K,-0.70%
"Aug 03, 2020",0.710,0.705,0.715,0.705,21.10K,1.43%
