Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.655,0.660,0.665,0.655,282.90K,-0.76%
"Aug 28, 2020",0.660,0.680,0.680,0.655,925.20K,-2.94%
"Aug 27, 2020",0.680,0.680,0.680,0.675,223.00K,1.49%
"Aug 26, 2020",0.670,0.670,0.680,0.670,248.90K,0.00%
"Aug 25, 2020",0.670,0.665,0.670,0.660,322.50K,1.52%
"Aug 24, 2020",0.660,0.665,0.665,0.645,474.10K,2.33%
"Aug 21, 2020",0.645,0.640,0.650,0.640,31.80K,0.78%
"Aug 19, 2020",0.640,0.640,0.640,0.635,24.90K,0.00%
"Aug 18, 2020",0.640,0.625,0.640,0.625,63.00K,1.59%
"Aug 17, 2020",0.630,0.630,0.640,0.630,116.00K,0.80%
"Aug 14, 2020",0.625,0.630,0.630,0.625,220.80K,-1.57%
"Aug 13, 2020",0.635,0.625,0.635,0.625,125.40K,0.79%
"Aug 12, 2020",0.630,0.630,0.630,0.615,141.60K,1.61%
"Aug 11, 2020",0.620,0.620,0.625,0.615,47.20K,-0.80%
"Aug 10, 2020",0.625,0.630,0.630,0.615,255.30K,-0.79%
"Aug 07, 2020",0.630,0.620,0.640,0.615,85.60K,1.61%
"Aug 06, 2020",0.620,0.635,0.635,0.610,396.40K,-2.36%
"Aug 05, 2020",0.635,0.655,0.655,0.635,158.60K,-3.79%
"Aug 04, 2020",0.660,0.650,0.660,0.645,46.50K,0.00%
"Aug 03, 2020",0.660,0.660,0.660,0.645,163.80K,0.00%
