Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.395,0.400,0.400,0.395,50.00K,3.95%
"Aug 28, 2020",0.380,0.370,0.380,0.370,76.90K,2.70%
"Aug 27, 2020",0.370,0.380,0.380,0.370,38.80K,-2.63%
"Aug 26, 2020",0.380,0.365,0.380,0.365,51.50K,1.33%
"Aug 25, 2020",0.375,0.370,0.375,0.365,24.60K,2.74%
"Aug 24, 2020",0.365,0.365,0.365,0.365,0.80K,1.39%
"Aug 21, 2020",0.360,0.360,0.360,0.360,9.30K,0.00%
"Aug 19, 2020",0.360,0.360,0.365,0.360,53.70K,0.00%
"Aug 18, 2020",0.360,0.360,0.365,0.360,23.20K,-1.37%
"Aug 17, 2020",0.365,0.365,0.365,0.365,2.40K,-2.67%
"Aug 14, 2020",0.375,0.375,0.375,0.370,89.80K,0.00%
"Aug 13, 2020",0.375,0.380,0.385,0.375,19.80K,0.00%
"Aug 12, 2020",0.375,0.380,0.380,0.375,51.10K,-1.32%
"Aug 11, 2020",0.380,0.380,0.395,0.380,46.50K,0.00%
"Aug 10, 2020",0.380,0.385,0.400,0.375,61.20K,-1.30%
"Aug 07, 2020",0.385,0.360,0.385,0.360,124.90K,1.32%
"Aug 06, 2020",0.380,0.380,0.380,0.360,71.30K,0.00%
"Aug 05, 2020",0.380,0.360,0.380,0.360,91.30K,2.70%
"Aug 04, 2020",0.370,0.375,0.375,0.370,257.20K,-1.33%
"Aug 03, 2020",0.375,0.385,0.385,0.375,193.60K,-2.60%
