Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",4.92,4.93,4.93,4.90,14.20K,-0.81%
"Aug 28, 2020",4.96,4.92,4.96,4.92,13.60K,0.81%
"Aug 27, 2020",4.92,4.95,4.95,4.92,17.40K,0.00%
"Aug 26, 2020",4.92,5.00,5.00,4.92,18.10K,-0.81%
"Aug 25, 2020",4.96,4.98,5.00,4.96,23.80K,-0.80%
"Aug 24, 2020",5.00,5.04,5.04,4.96,25.00K,1.42%
"Aug 21, 2020",4.93,4.87,5.03,4.87,48.40K,1.86%
"Aug 19, 2020",4.84,4.79,4.90,4.78,42.50K,0.83%
"Aug 18, 2020",4.80,4.85,4.85,4.79,48.50K,-0.41%
"Aug 17, 2020",4.82,4.82,4.83,4.82,23.20K,0.21%
"Aug 14, 2020",4.81,4.88,4.88,4.81,19.40K,-0.62%
"Aug 13, 2020",4.84,4.84,4.84,4.82,16.40K,-0.21%
"Aug 12, 2020",4.85,4.88,4.88,4.82,41.70K,0.21%
"Aug 11, 2020",4.84,4.89,4.89,4.84,40.50K,-1.22%
"Aug 10, 2020",4.90,4.87,4.90,4.87,5.20K,0.82%
"Aug 07, 2020",4.86,4.90,4.90,4.86,21.90K,-0.61%
"Aug 06, 2020",4.89,5.00,5.00,4.89,21.30K,0.00%
"Aug 05, 2020",4.89,4.90,4.92,4.89,41.70K,-0.20%
"Aug 04, 2020",4.90,5.00,5.10,4.90,13.00K,-1.01%
"Aug 03, 2020",4.95,4.96,4.96,4.90,31.20K,0.00%
