Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.935,0.920,0.950,0.920,1.04M,2.19%
"Aug 28, 2020",0.915,0.920,0.930,0.910,412.90K,-0.54%
"Aug 27, 2020",0.920,0.945,0.945,0.915,612.50K,0.55%
"Aug 26, 2020",0.915,0.900,0.955,0.900,1.67M,1.67%
"Aug 25, 2020",0.900,0.920,0.920,0.895,1.68M,-2.17%
"Aug 24, 2020",0.920,0.940,0.950,0.910,1.77M,0.55%
"Aug 21, 2020",0.915,0.925,0.925,0.890,1.05M,-1.08%
"Aug 19, 2020",0.925,0.940,0.940,0.900,1.15M,-0.54%
"Aug 18, 2020",0.930,0.865,0.950,0.860,1.64M,8.77%
"Aug 17, 2020",0.855,0.875,0.895,0.850,1.01M,0.59%
"Aug 14, 2020",0.850,0.885,0.885,0.830,1.49M,-3.41%
"Aug 13, 2020",0.880,0.915,0.925,0.800,1.79M,-1.68%
"Aug 12, 2020",0.895,0.950,0.985,0.815,4.06M,-5.29%
"Aug 11, 2020",0.945,0.995,1.040,0.940,3.42M,-3.57%
"Aug 10, 2020",0.980,1.040,1.050,0.910,6.10M,-3.92%
"Aug 07, 2020",1.020,1.030,1.150,1.000,15.34M,2.51%
"Aug 06, 2020",0.995,0.820,1.000,0.810,15.36M,22.84%
"Aug 05, 2020",0.810,0.790,0.850,0.790,3.22M,3.18%
"Aug 04, 2020",0.785,0.765,0.810,0.765,2.74M,3.29%
"Aug 03, 2020",0.760,0.725,0.760,0.720,2.06M,3.40%
