Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.720,0.725,0.730,0.705,1.73M,-0.69%
"Aug 28, 2020",0.725,0.725,0.760,0.720,4.38M,-0.68%
"Aug 27, 2020",0.730,0.755,0.765,0.725,3.98M,-3.31%
"Aug 26, 2020",0.755,0.755,0.780,0.745,4.98M,0.00%
"Aug 25, 2020",0.755,0.830,0.840,0.740,14.59M,-11.70%
"Aug 24, 2020",0.855,0.880,0.895,0.840,7.51M,-1.16%
"Aug 21, 2020",0.865,0.840,0.875,0.835,11.05M,4.85%
"Aug 19, 2020",0.825,0.800,0.855,0.785,10.10M,3.12%
"Aug 18, 2020",0.800,0.795,0.840,0.780,12.28M,3.90%
"Aug 17, 2020",0.770,0.760,0.795,0.755,4.70M,1.99%
"Aug 14, 2020",0.755,0.785,0.810,0.750,9.50M,-3.82%
"Aug 13, 2020",0.785,0.810,0.825,0.785,6.21M,-1.87%
"Aug 12, 2020",0.800,0.835,0.835,0.710,16.35M,-5.33%
"Aug 11, 2020",0.845,0.695,0.910,0.685,46.06M,24.26%
"Aug 10, 2020",0.680,0.695,0.715,0.660,17.48M,5.43%
"Aug 07, 2020",0.645,0.620,0.715,0.605,30.02M,9.32%
"Aug 06, 2020",0.590,0.585,0.610,0.565,16.05M,1.72%
"Aug 05, 2020",0.580,0.575,0.590,0.545,20.31M,3.57%
"Aug 04, 2020",0.560,0.435,0.560,0.435,24.95M,27.27%
"Aug 03, 2020",0.440,0.475,0.475,0.435,11.65M,-7.37%
