Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.455,0.440,0.470,0.440,6.96M,3.41%
"Aug 28, 2020",0.440,0.445,0.455,0.430,4.99M,-1.12%
"Aug 27, 2020",0.445,0.450,0.455,0.420,8.44M,0.00%
"Aug 26, 2020",0.445,0.440,0.455,0.435,7.24M,1.14%
"Aug 25, 2020",0.440,0.480,0.485,0.430,22.02M,-8.33%
"Aug 24, 2020",0.480,0.440,0.485,0.440,40.65M,11.63%
"Aug 21, 2020",0.430,0.420,0.440,0.410,11.63M,2.38%
"Aug 19, 2020",0.420,0.440,0.455,0.415,13.31M,-3.45%
"Aug 18, 2020",0.435,0.375,0.445,0.365,26.32M,16.00%
"Aug 17, 2020",0.375,0.390,0.415,0.370,14.06M,-5.06%
"Aug 14, 2020",0.395,0.410,0.410,0.365,23.63M,-4.82%
"Aug 13, 2020",0.415,0.460,0.460,0.400,12.41M,-5.68%
"Aug 12, 2020",0.440,0.435,0.500,0.310,70.26M,-2.22%
"Aug 11, 2020",0.450,0.540,0.545,0.410,54.89M,-15.09%
"Aug 10, 2020",0.530,0.575,0.575,0.520,29.89M,-2.75%
"Aug 07, 2020",0.545,0.570,0.585,0.525,40.53M,-3.54%
"Aug 06, 2020",0.565,0.595,0.595,0.540,40.91M,-3.42%
"Aug 05, 2020",0.585,0.550,0.600,0.540,82.19M,12.50%
"Aug 04, 2020",0.520,0.465,0.520,0.445,47.48M,13.04%
"Aug 03, 2020",0.460,0.440,0.470,0.440,19.08M,5.75%
