Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.815,0.810,0.815,0.805,1.22M,0.62%
"Nov 25, 2020",0.810,0.810,0.815,0.800,2.62M,1.25%
"Nov 24, 2020",0.800,0.795,0.810,0.795,2.17M,0.63%
"Nov 23, 2020",0.795,0.795,0.805,0.785,1.57M,1.27%
"Nov 20, 2020",0.785,0.790,0.800,0.785,1.54M,0.00%
"Nov 19, 2020",0.785,0.800,0.805,0.780,3.27M,-1.87%
"Nov 18, 2020",0.800,0.800,0.810,0.790,2.03M,0.00%
"Nov 17, 2020",0.800,0.810,0.815,0.795,3.32M,-1.23%
"Nov 16, 2020",0.810,0.800,0.815,0.795,3.11M,1.25%
"Nov 13, 2020",0.800,0.790,0.800,0.780,2.28M,1.27%
"Nov 12, 2020",0.790,0.780,0.800,0.775,3.61M,1.28%
"Nov 11, 2020",0.780,0.770,0.780,0.760,3.13M,1.96%
"Nov 10, 2020",0.765,0.755,0.775,0.750,2.23M,3.38%
"Nov 09, 2020",0.740,0.745,0.750,0.740,888.50K,-0.67%
"Nov 06, 2020",0.745,0.740,0.750,0.740,624.90K,1.36%
"Nov 05, 2020",0.735,0.735,0.750,0.730,1.37M,0.00%
"Nov 04, 2020",0.735,0.740,0.745,0.730,555.00K,-0.68%
"Nov 03, 2020",0.740,0.725,0.740,0.725,281.50K,2.78%
"Nov 02, 2020",0.720,0.730,0.730,0.710,2.63M,-1.37%
"Oct 30, 2020",0.730,0.730,0.740,0.725,1.35M,-1.35%
"Oct 28, 2020",0.740,0.730,0.750,0.725,967.20K,2.07%
"Oct 27, 2020",0.725,0.725,0.735,0.725,3.19M,0.00%
"Oct 26, 2020",0.725,0.735,0.740,0.725,2.11M,-1.36%
