Date,Price,Open,High,Low,Vol.,Change %
"Sep 15, 2020",0.290,0.305,0.315,0.280,27.21M,-4.92%
"Sep 14, 2020",0.305,0.280,0.310,0.275,38.49M,12.96%
"Sep 11, 2020",0.270,0.240,0.270,0.230,13.79M,10.20%
"Sep 10, 2020",0.245,0.275,0.275,0.245,8.80M,-9.26%
"Sep 09, 2020",0.270,0.275,0.275,0.265,4.09M,-3.57%
"Sep 08, 2020",0.280,0.290,0.290,0.270,9.36M,-3.45%
"Sep 07, 2020",0.290,0.295,0.300,0.285,4.26M,-1.69%
"Sep 04, 2020",0.295,0.285,0.300,0.280,7.77M,1.72%
"Sep 03, 2020",0.290,0.310,0.315,0.290,8.36M,-4.92%
"Sep 02, 2020",0.305,0.295,0.315,0.290,13.26M,5.17%
"Sep 01, 2020",0.290,0.295,0.300,0.285,10.77M,-1.69%
"Aug 28, 2020",0.295,0.305,0.310,0.295,6.27M,-3.28%
"Aug 27, 2020",0.305,0.320,0.320,0.300,6.83M,-4.69%
"Aug 26, 2020",0.320,0.290,0.325,0.280,20.36M,6.67%
"Aug 25, 2020",0.300,0.325,0.325,0.290,19.11M,-6.25%
"Aug 24, 2020",0.320,0.325,0.330,0.315,19.63M,0.00%
"Aug 21, 2020",0.320,0.325,0.330,0.315,13.26M,0.00%
"Aug 19, 2020",0.320,0.330,0.350,0.305,53.53M,-8.57%
"Aug 18, 2020",0.350,0.280,0.355,0.280,103.59M,25.00%
"Aug 17, 2020",0.280,0.270,0.300,0.255,18.81M,5.66%
