Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",3.55,3.65,3.68,3.52,111.80K,-4.05%
"Aug 28, 2020",3.70,3.45,3.70,3.41,831.80K,7.56%
"Aug 27, 2020",3.44,3.45,3.45,3.43,200.40K,0.00%
"Aug 26, 2020",3.44,3.44,3.45,3.42,233.80K,-0.58%
"Aug 25, 2020",3.46,3.45,3.47,3.45,136.10K,-0.57%
"Aug 24, 2020",3.48,3.50,3.50,3.46,214.00K,-0.57%
"Aug 21, 2020",3.50,3.50,3.50,3.44,61.20K,0.00%
"Aug 19, 2020",3.50,3.45,3.50,3.40,528.30K,0.00%
"Aug 18, 2020",3.50,3.49,3.50,3.41,676.00K,0.29%
"Aug 17, 2020",3.49,3.48,3.49,3.45,48.70K,0.58%
"Aug 14, 2020",3.47,3.48,3.51,3.46,836.20K,-0.29%
"Aug 13, 2020",3.48,3.42,3.48,3.41,241.80K,1.75%
"Aug 12, 2020",3.42,3.34,3.42,3.33,103.70K,2.40%
"Aug 11, 2020",3.34,3.34,3.35,3.32,166.60K,-0.30%
"Aug 10, 2020",3.35,3.33,3.35,3.32,81.90K,0.60%
"Aug 07, 2020",3.33,3.31,3.33,3.30,143.10K,0.60%
"Aug 06, 2020",3.31,3.30,3.32,3.30,85.10K,0.30%
"Aug 05, 2020",3.30,3.36,3.36,3.27,992.90K,-1.79%
"Aug 04, 2020",3.36,3.39,3.39,3.36,484.70K,-0.59%
"Aug 03, 2020",3.38,3.41,3.41,3.38,685.90K,-0.88%
