Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",1.670,1.660,1.690,1.660,310.00K,0.60%
"Aug 28, 2020",1.660,1.670,1.680,1.640,470.80K,0.00%
"Aug 27, 2020",1.660,1.640,1.690,1.640,318.30K,0.61%
"Aug 26, 2020",1.650,1.720,1.740,1.640,809.70K,-4.07%
"Aug 25, 2020",1.720,1.750,1.760,1.700,705.20K,-0.58%
"Aug 24, 2020",1.730,1.700,1.760,1.690,1.83M,2.98%
"Aug 21, 2020",1.680,1.620,1.680,1.620,819.40K,3.70%
"Aug 19, 2020",1.620,1.640,1.690,1.570,1.15M,1.89%
"Aug 18, 2020",1.590,1.480,1.600,1.480,1.90M,7.43%
"Aug 17, 2020",1.480,1.460,1.490,1.440,271.00K,2.78%
"Aug 14, 2020",1.440,1.480,1.480,1.440,316.90K,-2.70%
"Aug 13, 2020",1.480,1.490,1.490,1.440,341.40K,0.68%
"Aug 12, 2020",1.470,1.520,1.520,1.410,927.20K,-1.34%
"Aug 11, 2020",1.490,1.520,1.590,1.460,2.42M,6.43%
"Aug 10, 2020",1.400,1.410,1.410,1.390,353.90K,0.00%
"Aug 07, 2020",1.400,1.470,1.470,1.400,501.70K,-4.76%
"Aug 06, 2020",1.470,1.470,1.480,1.450,318.50K,0.00%
"Aug 05, 2020",1.470,1.480,1.480,1.450,353.80K,0.00%
"Aug 04, 2020",1.470,1.450,1.500,1.440,573.60K,1.38%
"Aug 03, 2020",1.450,1.410,1.470,1.360,1.19M,2.11%
