Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.195,0.205,0.205,0.190,666.50K,-4.88%
"Aug 28, 2020",0.205,0.200,0.205,0.195,1.24M,0.00%
"Aug 27, 2020",0.205,0.225,0.225,0.200,1.12M,-6.82%
"Aug 26, 2020",0.220,0.210,0.230,0.200,5.29M,4.76%
"Aug 25, 2020",0.210,0.210,0.210,0.195,1.50M,0.00%
"Aug 24, 2020",0.210,0.215,0.215,0.205,1.71M,7.69%
"Aug 21, 2020",0.195,0.185,0.220,0.185,2.03M,8.33%
"Aug 19, 2020",0.180,0.185,0.185,0.175,436.00K,-2.70%
"Aug 18, 2020",0.185,0.175,0.195,0.175,1.04M,5.71%
"Aug 17, 2020",0.175,0.180,0.190,0.175,562.40K,-7.89%
"Aug 14, 2020",0.190,0.205,0.205,0.185,1.90M,-7.32%
"Aug 13, 2020",0.205,0.205,0.240,0.200,9.20M,5.13%
"Aug 12, 2020",0.195,0.205,0.210,0.165,1.68M,-7.14%
"Aug 11, 2020",0.210,0.215,0.225,0.205,7.46M,2.44%
"Aug 10, 2020",0.205,0.170,0.205,0.170,4.11M,20.59%
"Aug 07, 2020",0.170,0.165,0.180,0.165,1.32M,3.03%
"Aug 06, 2020",0.165,0.160,0.170,0.160,620.80K,3.13%
"Aug 05, 2020",0.160,0.155,0.160,0.150,247.70K,3.23%
"Aug 04, 2020",0.155,0.165,0.165,0.155,427.50K,-3.12%
"Aug 03, 2020",0.160,0.155,0.160,0.150,294.50K,6.67%
