Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.065,0.070,0.070,0.065,1.73M,0.00%
"Aug 28, 2020",0.065,0.070,0.070,0.065,8.89M,0.00%
"Aug 27, 2020",0.065,0.065,0.070,0.065,9.89M,0.00%
"Aug 26, 2020",0.065,0.065,0.070,0.060,16.38M,0.00%
"Aug 25, 2020",0.065,0.065,0.065,0.060,3.89M,0.00%
"Aug 24, 2020",0.065,0.065,0.070,0.060,16.71M,0.00%
"Aug 21, 2020",0.065,0.065,0.070,0.060,8.06M,0.00%
"Aug 19, 2020",0.065,0.065,0.070,0.060,4.19M,-7.14%
"Aug 18, 2020",0.070,0.065,0.070,0.060,11.90M,7.69%
"Aug 17, 2020",0.065,0.065,0.070,0.060,26.05M,8.33%
"Aug 14, 2020",0.060,0.060,0.065,0.060,13.13M,-7.69%
"Aug 13, 2020",0.065,0.070,0.070,0.060,15.03M,0.00%
"Aug 12, 2020",0.065,0.070,0.075,0.060,75.17M,-18.75%
"Aug 11, 2020",0.080,0.070,0.090,0.065,164.16M,14.29%
"Aug 10, 2020",0.070,0.070,0.075,0.070,6.39M,0.00%
"Aug 07, 2020",0.070,0.075,0.075,0.065,21.01M,-6.67%
"Aug 06, 2020",0.075,0.065,0.080,0.060,121.17M,15.38%
"Aug 05, 2020",0.065,0.065,0.070,0.060,42.65M,0.00%
"Aug 04, 2020",0.065,0.060,0.065,0.055,13.22M,8.33%
"Aug 03, 2020",0.060,0.065,0.065,0.060,10.56M,-7.69%
