Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.125,0.120,0.125,0.120,410.30K,4.17%
"Aug 28, 2020",0.120,0.125,0.130,0.120,3.53M,0.00%
"Aug 27, 2020",0.120,0.130,0.130,0.120,6.84M,-7.69%
"Aug 26, 2020",0.130,0.120,0.130,0.115,8.49M,13.04%
"Aug 25, 2020",0.115,0.125,0.125,0.115,3.40M,-8.00%
"Aug 24, 2020",0.125,0.125,0.130,0.120,3.28M,0.00%
"Aug 21, 2020",0.125,0.120,0.125,0.115,1.43M,4.17%
"Aug 19, 2020",0.120,0.115,0.120,0.115,1.20M,4.35%
"Aug 18, 2020",0.115,0.120,0.125,0.115,1.81M,-4.17%
"Aug 17, 2020",0.120,0.120,0.125,0.115,1.73M,0.00%
"Aug 14, 2020",0.120,0.130,0.130,0.120,3.61M,-11.11%
"Aug 13, 2020",0.135,0.125,0.135,0.125,5.99M,8.00%
"Aug 12, 2020",0.125,0.140,0.140,0.120,5.34M,-10.71%
"Aug 11, 2020",0.140,0.145,0.150,0.135,5.00M,0.00%
"Aug 10, 2020",0.140,0.130,0.145,0.125,19.78M,12.00%
"Aug 07, 2020",0.125,0.125,0.130,0.125,3.22M,-3.85%
"Aug 06, 2020",0.130,0.130,0.135,0.125,5.90M,0.00%
"Aug 05, 2020",0.130,0.115,0.135,0.115,7.60M,13.04%
"Aug 04, 2020",0.115,0.120,0.120,0.115,1.44M,-4.17%
"Aug 03, 2020",0.120,0.125,0.125,0.115,4.13M,-4.00%
