Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",1.260,1.230,1.270,1.230,97.70K,1.61%
"Aug 28, 2020",1.240,1.230,1.240,1.230,115.10K,0.81%
"Aug 27, 2020",1.230,1.170,1.230,1.170,241.10K,5.13%
"Aug 26, 2020",1.170,1.170,1.180,1.160,177.80K,0.00%
"Aug 25, 2020",1.170,1.160,1.170,1.160,86.20K,0.86%
"Aug 24, 2020",1.160,1.120,1.160,1.120,244.60K,0.87%
"Aug 21, 2020",1.150,1.140,1.150,1.140,125.80K,0.88%
"Aug 19, 2020",1.140,1.140,1.150,1.130,194.50K,0.00%
"Aug 18, 2020",1.140,1.160,1.160,1.120,311.70K,-2.56%
"Aug 17, 2020",1.170,1.170,1.170,1.130,174.90K,0.00%
"Aug 14, 2020",1.170,1.180,1.180,1.160,126.40K,-0.85%
"Aug 13, 2020",1.180,1.170,1.180,1.160,125.60K,1.72%
"Aug 12, 2020",1.160,1.160,1.180,1.150,215.70K,0.00%
"Aug 11, 2020",1.160,1.140,1.160,1.140,166.00K,1.75%
"Aug 10, 2020",1.140,1.110,1.140,1.110,257.50K,2.70%
"Aug 07, 2020",1.110,1.140,1.140,1.110,261.80K,-4.31%
"Aug 06, 2020",1.160,1.120,1.160,1.120,298.60K,0.87%
"Aug 05, 2020",1.150,1.120,1.150,1.120,126.40K,0.00%
"Aug 04, 2020",1.150,1.150,1.150,1.150,0.20K,-2.54%
"Aug 03, 2020",1.180,1.170,1.180,1.160,142.90K,0.00%
