Date,Price,Open,High,Low,Vol.,Change %
"Sep 15, 2020",0.100,0.090,0.105,0.085,90.65M,17.65%
"Sep 14, 2020",0.085,0.085,0.090,0.080,18.62M,6.25%
"Sep 11, 2020",0.080,0.080,0.085,0.080,3.72M,-5.88%
"Sep 10, 2020",0.085,0.090,0.090,0.080,24.37M,-5.56%
"Sep 09, 2020",0.090,0.080,0.095,0.080,41.11M,12.50%
"Sep 08, 2020",0.080,0.090,0.090,0.080,9.35M,-5.88%
"Sep 07, 2020",0.085,0.080,0.095,0.080,42.47M,6.25%
"Sep 04, 2020",0.080,0.080,0.085,0.075,11.22M,0.00%
"Sep 03, 2020",0.080,0.085,0.090,0.080,25.01M,-11.11%
"Sep 02, 2020",0.090,0.090,0.095,0.085,28.18M,0.00%
"Sep 01, 2020",0.090,0.095,0.095,0.085,25.67M,-5.26%
"Aug 28, 2020",0.095,0.100,0.105,0.085,92.72M,0.00%
"Aug 27, 2020",0.095,0.080,0.105,0.080,180.42M,18.75%
"Aug 26, 2020",0.080,0.075,0.085,0.075,35.97M,6.67%
"Aug 25, 2020",0.075,0.080,0.080,0.075,1.69M,0.00%
"Aug 24, 2020",0.075,0.080,0.080,0.075,2.35M,-6.25%
"Aug 21, 2020",0.080,0.080,0.080,0.075,958.00K,0.00%
"Aug 19, 2020",0.080,0.075,0.080,0.075,2.54M,6.67%
"Aug 18, 2020",0.075,0.080,0.080,0.070,4.59M,0.00%
"Aug 17, 2020",0.075,0.080,0.080,0.075,2.97M,-6.25%
