Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",3.83,3.87,3.94,3.80,12.60K,-3.04%
"Aug 28, 2020",3.95,3.95,3.95,3.95,4.00K,0.00%
"Aug 25, 2020",3.95,3.95,3.95,3.95,3.00K,0.00%
"Aug 24, 2020",3.95,4.00,4.00,3.95,16.00K,-1.25%
"Aug 19, 2020",4.00,4.00,4.00,4.00,2.00K,0.00%
"Aug 14, 2020",4.00,4.00,4.05,4.00,4.00K,0.00%
"Aug 13, 2020",4.00,4.00,4.00,4.00,2.00K,0.00%
"Aug 12, 2020",4.00,4.00,4.00,4.00,5.90K,0.50%
"Aug 11, 2020",3.98,4.00,4.00,3.98,3.00K,-0.50%
"Aug 10, 2020",4.00,4.01,4.01,4.00,4.50K,-0.50%
"Aug 07, 2020",4.02,4.00,4.02,4.00,7.50K,0.50%
"Aug 04, 2020",4.00,4.00,4.00,4.00,10.00K,0.50%
"Aug 03, 2020",3.98,4.00,4.00,3.98,7.30K,-0.50%
