Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.885,0.860,0.890,0.850,1.24M,2.91%
"Nov 25, 2020",0.860,0.860,0.875,0.845,820.10K,0.00%
"Nov 24, 2020",0.860,0.890,0.895,0.830,1.76M,-2.82%
"Nov 23, 2020",0.885,0.890,0.915,0.885,1.97M,0.00%
"Nov 20, 2020",0.885,0.855,0.905,0.855,3.41M,3.51%
"Nov 19, 2020",0.855,0.810,0.875,0.805,4.17M,6.21%
"Nov 18, 2020",0.805,0.795,0.815,0.795,419.50K,1.26%
"Nov 17, 2020",0.795,0.790,0.810,0.790,892.00K,0.63%
"Nov 16, 2020",0.790,0.815,0.815,0.780,875.90K,-3.07%
"Nov 13, 2020",0.815,0.790,0.820,0.780,1.77M,3.16%
"Nov 12, 2020",0.790,0.810,0.830,0.790,1.82M,-1.86%
"Nov 11, 2020",0.805,0.785,0.820,0.760,2.95M,1.90%
"Nov 10, 2020",0.790,0.725,0.795,0.725,4.16M,8.97%
"Nov 09, 2020",0.725,0.720,0.725,0.710,658.70K,1.40%
"Nov 06, 2020",0.715,0.735,0.735,0.705,551.40K,-1.38%
"Nov 05, 2020",0.725,0.710,0.730,0.710,945.30K,2.84%
"Nov 04, 2020",0.705,0.700,0.715,0.700,413.20K,0.71%
"Nov 03, 2020",0.700,0.730,0.740,0.695,1.44M,-2.10%
"Nov 02, 2020",0.715,0.665,0.725,0.650,1.24M,6.72%
"Oct 30, 2020",0.670,0.700,0.700,0.665,1.93M,-4.96%
"Oct 28, 2020",0.705,0.740,0.740,0.700,3.32M,-4.08%
"Oct 27, 2020",0.735,0.660,0.745,0.660,9.22M,13.08%
"Oct 26, 2020",0.650,0.635,0.660,0.630,3.20M,4.00%
