Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.690,0.700,0.700,0.685,1.90M,-1.43%
"Aug 28, 2020",0.700,0.710,0.745,0.685,30.44M,6.87%
"Aug 27, 2020",0.655,0.670,0.690,0.650,6.52M,-2.24%
"Aug 26, 2020",0.670,0.700,0.705,0.665,10.39M,-3.60%
"Aug 25, 2020",0.695,0.685,0.750,0.675,87.93M,3.73%
"Aug 24, 2020",0.670,0.645,0.685,0.635,25.83M,6.35%
"Aug 21, 2020",0.630,0.625,0.635,0.615,2.11M,0.80%
"Aug 19, 2020",0.625,0.625,0.640,0.625,2.57M,0.00%
"Aug 18, 2020",0.625,0.625,0.630,0.615,2.10M,1.63%
"Aug 17, 2020",0.615,0.625,0.635,0.610,5.16M,-1.60%
"Aug 14, 2020",0.625,0.645,0.645,0.605,6.21M,-2.34%
"Aug 13, 2020",0.640,0.655,0.665,0.635,3.22M,-0.78%
"Aug 12, 2020",0.645,0.635,0.680,0.605,26.21M,3.20%
"Aug 11, 2020",0.625,0.645,0.645,0.620,3.15M,-1.57%
"Aug 10, 2020",0.635,0.645,0.675,0.625,11.84M,3.25%
"Aug 07, 2020",0.615,0.650,0.650,0.615,6.23M,-4.65%
"Aug 06, 2020",0.645,0.685,0.685,0.640,7.41M,-3.01%
"Aug 05, 2020",0.665,0.605,0.690,0.600,27.37M,11.76%
"Aug 04, 2020",0.595,0.620,0.635,0.590,9.78M,-4.03%
"Aug 03, 2020",0.620,0.620,0.645,0.605,12.43M,-1.59%
