Date,Price,Open,High,Low,Vol.,Change %
"Sep 15, 2020",0.480,0.465,0.495,0.455,24.34M,6.67%
"Sep 14, 2020",0.450,0.425,0.455,0.425,11.23M,7.14%
"Sep 11, 2020",0.420,0.405,0.420,0.395,4.16M,3.70%
"Sep 10, 2020",0.405,0.425,0.435,0.405,5.99M,-4.71%
"Sep 09, 2020",0.425,0.420,0.430,0.415,5.54M,-2.30%
"Sep 08, 2020",0.435,0.450,0.450,0.415,9.94M,-3.33%
"Sep 07, 2020",0.450,0.450,0.475,0.435,16.88M,1.12%
"Sep 04, 2020",0.445,0.415,0.465,0.405,58.06M,7.23%
"Sep 03, 2020",0.415,0.420,0.425,0.405,6.69M,0.00%
"Sep 02, 2020",0.415,0.425,0.435,0.405,14.13M,-1.19%
"Sep 01, 2020",0.420,0.400,0.425,0.400,19.41M,9.09%
"Aug 28, 2020",0.385,0.390,0.395,0.380,5.22M,1.32%
"Aug 27, 2020",0.380,0.385,0.390,0.375,6.47M,0.00%
"Aug 26, 2020",0.380,0.385,0.390,0.380,4.64M,-2.56%
"Aug 25, 2020",0.390,0.390,0.390,0.385,3.97M,1.30%
"Aug 24, 2020",0.385,0.390,0.390,0.385,1.97M,0.00%
"Aug 21, 2020",0.385,0.385,0.390,0.380,3.17M,1.32%
"Aug 19, 2020",0.380,0.375,0.390,0.375,4.76M,1.33%
"Aug 18, 2020",0.375,0.375,0.380,0.370,1.98M,0.00%
"Aug 17, 2020",0.375,0.380,0.380,0.370,1.16M,0.00%
