Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.170,0.180,0.180,0.170,610.50K,-8.11%
"Aug 28, 2020",0.185,0.185,0.200,0.180,2.63M,-2.63%
"Aug 27, 2020",0.190,0.185,0.195,0.170,3.02M,5.56%
"Aug 26, 2020",0.180,0.150,0.185,0.145,8.01M,24.14%
"Aug 25, 2020",0.145,0.145,0.155,0.135,1.93M,-6.45%
"Aug 24, 2020",0.155,0.135,0.160,0.130,4.63M,10.71%
"Aug 21, 2020",0.140,0.100,0.155,0.100,5.29M,40.00%
"Aug 19, 2020",0.100,0.100,0.110,0.100,77.90K,-4.76%
"Aug 18, 2020",0.105,0.100,0.110,0.100,111.20K,5.00%
"Aug 17, 2020",0.100,0.100,0.105,0.100,178.20K,0.00%
"Aug 14, 2020",0.100,0.110,0.110,0.100,578.40K,-13.04%
"Aug 13, 2020",0.115,0.105,0.120,0.105,860.50K,4.55%
"Aug 12, 2020",0.110,0.120,0.125,0.105,849.00K,-4.35%
"Aug 11, 2020",0.115,0.135,0.140,0.110,2.29M,-11.54%
"Aug 10, 2020",0.130,0.120,0.130,0.110,3.15M,13.04%
"Aug 07, 2020",0.115,0.100,0.125,0.100,3.50M,9.52%
"Aug 06, 2020",0.105,0.095,0.115,0.095,1.25M,10.53%
"Aug 05, 2020",0.095,0.095,0.100,0.095,212.00K,-5.00%
"Aug 04, 2020",0.100,0.100,0.100,0.100,819.40K,0.00%
"Aug 03, 2020",0.100,0.100,0.115,0.100,96.40K,-4.76%
