Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",10.18,10.20,10.20,10.14,192.80K,-0.20%
"Aug 28, 2020",10.20,10.20,10.24,10.16,463.00K,0.39%
"Aug 27, 2020",10.16,10.20,10.20,10.14,324.70K,-0.39%
"Aug 26, 2020",10.20,10.14,10.20,10.14,238.60K,0.39%
"Aug 25, 2020",10.16,10.22,10.22,10.14,502.10K,-0.59%
"Aug 24, 2020",10.22,10.30,10.30,10.18,583.10K,-0.78%
"Aug 21, 2020",10.30,10.38,10.38,10.30,180.80K,-1.15%
"Aug 19, 2020",10.42,10.40,10.42,10.26,166.80K,-0.57%
"Aug 18, 2020",10.48,10.16,10.48,10.10,394.90K,3.35%
"Aug 17, 2020",10.14,10.24,10.26,10.08,585.00K,-0.39%
"Aug 14, 2020",10.18,10.34,10.34,10.18,727.20K,-1.17%
"Aug 13, 2020",10.30,10.26,10.38,10.22,227.30K,0.98%
"Aug 12, 2020",10.20,10.30,10.40,10.18,506.20K,-0.58%
"Aug 11, 2020",10.26,10.32,10.32,10.24,317.80K,-0.58%
"Aug 10, 2020",10.32,10.44,10.44,10.28,252.70K,-1.15%
"Aug 07, 2020",10.44,10.34,10.44,10.28,522.60K,0.58%
"Aug 06, 2020",10.38,10.46,10.46,10.26,430.00K,-1.52%
"Aug 05, 2020",10.54,10.58,10.60,10.50,605.70K,-0.38%
"Aug 04, 2020",10.58,10.56,10.62,10.50,770.00K,0.19%
"Aug 03, 2020",10.56,10.70,10.70,10.54,409.80K,-1.31%
