Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",1.040,1.050,1.050,1.030,104.60K,-0.95%
"Nov 25, 2020",1.050,1.020,1.060,1.020,417.30K,2.94%
"Nov 24, 2020",1.020,1.070,1.070,1.020,479.00K,-4.67%
"Nov 23, 2020",1.070,1.070,1.100,1.060,286.70K,0.94%
"Nov 20, 2020",1.060,1.060,1.080,1.060,653.50K,-0.93%
"Nov 19, 2020",1.070,1.030,1.080,1.030,700.80K,1.90%
"Nov 18, 2020",1.050,1.030,1.050,1.010,605.20K,3.96%
"Nov 17, 2020",1.010,1.030,1.050,1.010,494.40K,-1.94%
"Nov 16, 2020",1.030,0.990,1.030,0.990,936.10K,5.10%
"Nov 13, 2020",0.980,0.955,0.980,0.950,521.90K,3.16%
"Nov 12, 2020",0.950,0.940,0.960,0.940,507.40K,2.15%
"Nov 11, 2020",0.930,0.940,0.940,0.925,122.90K,1.09%
"Nov 10, 2020",0.920,0.940,0.940,0.915,127.30K,0.00%
"Nov 09, 2020",0.920,0.910,0.920,0.905,188.50K,1.66%
"Nov 06, 2020",0.905,0.910,0.910,0.890,154.50K,-0.55%
"Nov 05, 2020",0.910,0.905,0.940,0.905,269.00K,1.11%
"Nov 04, 2020",0.900,0.890,0.900,0.890,11.80K,0.00%
"Nov 03, 2020",0.900,0.890,0.900,0.890,26.00K,1.12%
"Nov 02, 2020",0.890,0.885,0.900,0.880,435.20K,1.14%
"Oct 30, 2020",0.880,0.900,0.900,0.880,59.40K,-2.22%
"Oct 28, 2020",0.900,0.890,0.900,0.890,95.20K,1.12%
"Oct 27, 2020",0.890,0.890,0.900,0.890,148.80K,-0.56%
"Oct 26, 2020",0.895,0.890,0.895,0.885,194.00K,-0.56%
