Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.130,0.125,0.130,0.120,21.02M,8.33%
"Aug 28, 2020",0.120,0.110,0.140,0.110,120.74M,9.09%
"Aug 27, 2020",0.110,0.135,0.135,0.110,131.09M,-24.14%
"Aug 26, 2020",0.145,0.105,0.160,0.100,484.83M,52.63%
"Aug 25, 2020",0.095,0.095,0.105,0.080,136.42M,5.56%
"Aug 24, 2020",0.090,0.080,0.100,0.080,134.98M,28.57%
"Aug 21, 2020",0.070,0.065,0.075,0.065,26.54M,16.67%
"Aug 19, 2020",0.060,0.060,0.065,0.060,8.53M,9.09%
"Aug 18, 2020",0.055,0.055,0.060,0.055,3.75M,0.00%
"Aug 17, 2020",0.055,0.060,0.060,0.055,9.91M,-8.33%
"Aug 14, 2020",0.060,0.065,0.065,0.055,16.46M,0.00%
"Aug 13, 2020",0.060,0.065,0.065,0.060,11.08M,-7.69%
"Aug 12, 2020",0.065,0.070,0.070,0.055,36.76M,-7.14%
"Aug 11, 2020",0.070,0.085,0.085,0.070,31.30M,-12.50%
"Aug 10, 2020",0.080,0.085,0.085,0.070,72.08M,23.08%
"Aug 07, 2020",0.065,0.065,0.085,0.060,149.48M,18.18%
"Aug 06, 2020",0.055,0.045,0.060,0.045,117.67M,22.22%
"Aug 05, 2020",0.045,0.045,0.050,0.040,28.02M,12.50%
"Aug 04, 2020",0.040,0.040,0.050,0.035,60.29M,14.29%
"Aug 03, 2020",0.035,0.035,0.035,0.035,904.00K,-12.50%
