Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.400,0.415,0.415,0.400,8.10K,0.00%
"Aug 28, 2020",0.400,0.380,0.400,0.380,32.00K,5.26%
"Aug 26, 2020",0.380,0.380,0.385,0.380,49.00K,7.04%
"Aug 25, 2020",0.355,0.355,0.385,0.345,92.00K,-2.74%
"Aug 24, 2020",0.365,0.370,0.370,0.365,64.10K,-1.35%
"Aug 21, 2020",0.370,0.355,0.370,0.340,120.10K,1.37%
"Aug 18, 2020",0.365,0.335,0.365,0.335,2.00K,5.80%
"Aug 17, 2020",0.345,0.350,0.370,0.345,50.30K,0.00%
"Aug 14, 2020",0.345,0.330,0.370,0.320,30.10K,4.55%
"Aug 13, 2020",0.330,0.330,0.330,0.330,5.00K,0.00%
"Aug 12, 2020",0.330,0.330,0.330,0.330,12.00K,-1.49%
"Aug 11, 2020",0.335,0.330,0.335,0.330,38.00K,0.00%
"Aug 10, 2020",0.335,0.335,0.335,0.330,70.40K,0.00%
"Aug 07, 2020",0.335,0.330,0.350,0.330,66.50K,1.52%
"Aug 05, 2020",0.330,0.305,0.330,0.300,38.00K,1.54%
"Aug 04, 2020",0.325,0.320,0.330,0.320,2.00K,1.56%
