Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",3.570,3.590,3.640,3.480,11.65M,2.88%
"Aug 28, 2020",3.470,3.500,3.600,3.410,15.19M,-1.42%
"Aug 27, 2020",3.520,3.780,3.780,3.520,20.32M,-6.13%
"Aug 26, 2020",3.750,3.370,3.770,3.300,35.12M,8.70%
"Aug 25, 2020",3.450,3.850,3.850,3.360,40.47M,-12.66%
"Aug 24, 2020",3.950,4.210,4.250,3.920,27.34M,-5.50%
"Aug 21, 2020",4.180,4.230,4.310,4.080,26.55M,0.00%
"Aug 19, 2020",4.180,4.100,4.540,3.900,101.50M,3.72%
"Aug 18, 2020",4.030,3.100,4.030,3.020,111.84M,30.00%
"Aug 17, 2020",3.100,3.280,3.470,3.050,51.96M,-7.46%
"Aug 14, 2020",3.350,3.570,3.600,3.030,66.24M,-5.10%
"Aug 13, 2020",3.530,3.640,3.850,3.400,38.08M,1.73%
"Aug 12, 2020",3.470,4.100,4.150,3.010,86.79M,-19.11%
"Aug 11, 2020",4.290,4.600,4.650,4.120,35.85M,4.13%
"Aug 10, 2020",4.120,4.460,4.720,3.720,60.40M,-4.19%
"Aug 07, 2020",4.300,5.150,5.190,4.300,48.69M,-16.02%
"Aug 06, 2020",5.120,5.450,5.500,4.940,37.28M,-5.19%
"Aug 05, 2020",5.400,5.580,5.720,5.380,40.75M,0.56%
"Aug 04, 2020",5.370,4.960,5.830,4.740,149.52M,13.29%
"Aug 03, 2020",4.740,3.820,4.740,3.820,117.77M,29.86%
