Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.635,0.630,0.635,0.625,567.80K,0.00%
"Aug 28, 2020",0.635,0.630,0.640,0.620,1.98M,-0.78%
"Aug 27, 2020",0.640,0.655,0.655,0.630,2.26M,-2.29%
"Aug 26, 2020",0.655,0.660,0.665,0.645,2.05M,2.34%
"Aug 25, 2020",0.640,0.660,0.660,0.630,2.15M,-3.03%
"Aug 24, 2020",0.660,0.645,0.665,0.630,3.11M,1.54%
"Aug 21, 2020",0.650,0.650,0.655,0.640,1.36M,0.00%
"Aug 19, 2020",0.650,0.655,0.665,0.645,1.33M,-1.52%
"Aug 18, 2020",0.660,0.665,0.665,0.640,1.23M,1.54%
"Aug 17, 2020",0.650,0.645,0.675,0.630,2.18M,1.56%
"Aug 14, 2020",0.640,0.675,0.675,0.635,4.10M,-5.19%
"Aug 13, 2020",0.675,0.710,0.720,0.665,3.42M,-2.88%
"Aug 12, 2020",0.695,0.720,0.720,0.645,8.56M,-7.95%
"Aug 11, 2020",0.755,0.670,0.755,0.645,31.62M,13.53%
"Aug 10, 2020",0.665,0.650,0.675,0.650,4.12M,2.31%
"Aug 07, 2020",0.650,0.685,0.685,0.640,7.87M,-1.52%
"Aug 06, 2020",0.660,0.640,0.685,0.630,11.57M,7.32%
"Aug 05, 2020",0.615,0.575,0.615,0.570,5.58M,6.96%
"Aug 04, 2020",0.575,0.580,0.585,0.570,1.82M,-1.71%
"Aug 03, 2020",0.585,0.595,0.595,0.575,1.70M,-2.50%
