Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",1.350,1.370,1.370,1.350,136.30K,-1.46%
"Aug 28, 2020",1.370,1.360,1.390,1.350,426.00K,0.00%
"Aug 27, 2020",1.370,1.400,1.420,1.370,329.00K,-0.72%
"Aug 26, 2020",1.380,1.400,1.420,1.370,530.00K,0.00%
"Aug 25, 2020",1.380,1.380,1.570,1.360,4.39M,-4.83%
"Aug 24, 2020",1.450,1.400,1.460,1.390,1.01M,4.32%
"Aug 21, 2020",1.390,1.370,1.400,1.360,227.90K,0.00%
"Aug 19, 2020",1.390,1.450,1.450,1.380,472.10K,-2.80%
"Aug 18, 2020",1.430,1.350,1.450,1.350,753.10K,5.93%
"Aug 17, 2020",1.350,1.340,1.360,1.320,514.50K,0.75%
"Aug 14, 2020",1.340,1.400,1.420,1.320,841.10K,-5.63%
"Aug 13, 2020",1.420,1.390,1.430,1.390,419.50K,2.16%
"Aug 12, 2020",1.390,1.460,1.540,1.350,2.38M,-4.79%
"Aug 11, 2020",1.460,1.550,1.580,1.450,1.30M,-4.58%
"Aug 10, 2020",1.530,1.580,1.630,1.480,1.74M,-1.29%
"Aug 07, 2020",1.550,1.760,1.790,1.550,7.01M,-10.40%
"Aug 06, 2020",1.730,1.520,1.770,1.460,10.55M,17.69%
"Aug 05, 2020",1.470,1.450,1.540,1.410,2.73M,2.08%
"Aug 04, 2020",1.440,1.450,1.480,1.390,2.51M,2.13%
"Aug 03, 2020",1.410,1.350,1.460,1.340,2.51M,5.22%
