Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.610,0.645,0.645,0.610,1.36M,-7.58%
"Nov 25, 2020",0.660,0.665,0.685,0.660,361.50K,3.94%
"Nov 24, 2020",0.635,0.675,0.680,0.635,209.30K,-3.05%
"Nov 23, 2020",0.655,0.620,0.675,0.620,289.50K,0.77%
"Nov 20, 2020",0.650,0.640,0.655,0.640,171.60K,0.78%
"Nov 19, 2020",0.645,0.650,0.655,0.645,98.00K,-1.53%
"Nov 18, 2020",0.655,0.655,0.655,0.650,130.60K,0.77%
"Nov 17, 2020",0.650,0.665,0.665,0.645,298.00K,0.78%
"Nov 16, 2020",0.645,0.620,0.645,0.620,172.90K,4.88%
"Nov 13, 2020",0.615,0.605,0.630,0.605,76.50K,0.82%
"Nov 12, 2020",0.610,0.615,0.615,0.605,68.20K,-0.81%
"Nov 11, 2020",0.615,0.610,0.620,0.600,221.80K,1.65%
"Nov 10, 2020",0.605,0.600,0.615,0.600,122.00K,2.54%
"Nov 09, 2020",0.590,0.580,0.590,0.580,68.00K,0.00%
"Nov 06, 2020",0.590,0.570,0.600,0.570,107.50K,-1.67%
"Nov 05, 2020",0.600,0.585,0.605,0.585,272.00K,2.56%
"Nov 04, 2020",0.585,0.570,0.585,0.565,317.80K,2.63%
"Nov 03, 2020",0.570,0.580,0.580,0.565,189.70K,0.00%
"Nov 02, 2020",0.570,0.580,0.580,0.570,166.40K,-3.39%
"Oct 30, 2020",0.590,0.590,0.590,0.575,315.20K,-2.48%
"Oct 28, 2020",0.605,0.600,0.610,0.600,210.00K,-2.42%
"Oct 27, 2020",0.620,0.610,0.620,0.600,150.20K,-0.80%
"Oct 26, 2020",0.625,0.610,0.625,0.600,193.40K,2.46%
