Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.175,0.155,0.190,0.155,1.75M,9.38%
"Aug 28, 2020",0.160,0.160,0.165,0.160,320.50K,-3.03%
"Aug 27, 2020",0.165,0.180,0.180,0.160,553.10K,-10.81%
"Aug 26, 2020",0.185,0.150,0.190,0.150,1.91M,23.33%
"Aug 25, 2020",0.150,0.150,0.150,0.150,298.00K,-6.25%
"Aug 24, 2020",0.160,0.150,0.160,0.150,143.00K,3.23%
"Aug 21, 2020",0.155,0.150,0.155,0.150,90.00K,3.33%
"Aug 19, 2020",0.150,0.150,0.150,0.150,53.00K,-3.23%
"Aug 18, 2020",0.155,0.150,0.155,0.150,140.00K,3.33%
"Aug 17, 2020",0.150,0.150,0.150,0.150,144.50K,-6.25%
"Aug 14, 2020",0.160,0.170,0.170,0.150,279.50K,0.00%
"Aug 13, 2020",0.160,0.160,0.160,0.160,81.00K,-5.88%
"Aug 12, 2020",0.170,0.160,0.170,0.150,918.00K,0.00%
"Aug 11, 2020",0.170,0.195,0.195,0.170,721.40K,-8.11%
"Aug 10, 2020",0.185,0.170,0.195,0.170,1.69M,15.63%
"Aug 07, 2020",0.160,0.185,0.185,0.160,472.40K,-11.11%
"Aug 06, 2020",0.180,0.145,0.180,0.140,789.20K,28.57%
"Aug 05, 2020",0.140,0.145,0.155,0.140,537.70K,0.00%
"Aug 04, 2020",0.140,0.140,0.145,0.135,363.30K,-6.67%
"Aug 03, 2020",0.150,0.155,0.155,0.135,871.20K,-6.25%
