Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.030,0.035,0.035,0.030,3.51M,-14.29%
"Aug 28, 2020",0.035,0.035,0.040,0.030,48.53M,0.00%
"Aug 27, 2020",0.035,0.035,0.040,0.035,140.07M,16.67%
"Aug 26, 2020",0.030,0.030,0.035,0.030,8.40M,0.00%
"Aug 25, 2020",0.030,0.035,0.035,0.030,19.28M,-14.29%
"Aug 24, 2020",0.035,0.035,0.035,0.030,4.26M,0.00%
"Aug 21, 2020",0.035,0.030,0.035,0.030,8.73M,0.00%
"Aug 19, 2020",0.035,0.030,0.035,0.030,15.66M,16.67%
"Aug 18, 2020",0.030,0.030,0.035,0.030,14.73M,0.00%
"Aug 17, 2020",0.030,0.030,0.035,0.030,21.29M,0.00%
"Aug 14, 2020",0.030,0.035,0.035,0.030,22.00M,-14.29%
"Aug 13, 2020",0.035,0.035,0.040,0.035,15.78M,0.00%
"Aug 12, 2020",0.035,0.040,0.040,0.030,186.98M,-12.50%
"Aug 11, 2020",0.040,0.050,0.050,0.040,84.99M,-11.11%
"Aug 10, 2020",0.045,0.035,0.045,0.035,234.13M,50.00%
"Aug 07, 2020",0.030,0.030,0.035,0.025,76.03M,0.00%
"Aug 06, 2020",0.030,0.030,0.030,0.025,20.58M,0.00%
"Aug 05, 2020",0.030,0.025,0.030,0.025,88.18M,50.00%
"Aug 04, 2020",0.020,0.020,0.025,0.020,43.49M,0.00%
"Aug 03, 2020",0.020,0.020,0.020,0.020,5.33M,0.00%
