Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.530,0.540,0.540,0.530,6.00K,-11.67%
"Nov 25, 2020",0.600,0.530,0.600,0.530,2.60K,5.26%
"Nov 24, 2020",0.570,0.530,0.580,0.530,4.10K,0.00%
"Nov 23, 2020",0.570,0.550,0.570,0.550,4.00K,1.79%
"Nov 19, 2020",0.560,0.560,0.560,0.560,3.00K,-1.75%
"Nov 17, 2020",0.570,0.540,0.570,0.540,8.00K,0.00%
"Nov 16, 2020",0.570,0.550,0.570,0.550,7.00K,-0.87%
"Nov 12, 2020",0.575,0.575,0.575,0.575,2.50K,0.88%
"Nov 11, 2020",0.570,0.560,0.570,0.560,2.00K,3.64%
"Nov 10, 2020",0.550,0.550,0.550,0.550,17.50K,-0.90%
"Nov 09, 2020",0.555,0.555,0.555,0.555,2.10K,-0.89%
"Oct 30, 2020",0.560,0.560,0.560,0.500,48.20K,0.00%
"Oct 28, 2020",0.560,0.510,0.600,0.510,82.00K,13.13%
