Date,Price,Open,High,Low,Vol.,Change %
"Aug 28, 2020",0.880,0.880,0.880,0.880,4.00K,-0.56%
"Aug 27, 2020",0.885,0.885,0.885,0.885,20.00K,4.73%
"Aug 26, 2020",0.845,0.845,0.845,0.845,2.00K,-4.52%
"Aug 25, 2020",0.885,0.880,0.885,0.880,30.00K,0.00%
"Aug 24, 2020",0.885,0.885,0.890,0.885,176.70K,0.00%
"Aug 21, 2020",0.885,0.885,0.885,0.885,3.00K,0.57%
"Aug 19, 2020",0.880,0.890,0.890,0.880,190.00K,0.00%
"Aug 17, 2020",0.880,0.880,0.885,0.870,42.00K,-4.35%
"Aug 13, 2020",0.920,0.900,0.920,0.900,13.00K,5.75%
"Aug 12, 2020",0.870,0.870,0.870,0.870,1.00K,0.00%
"Aug 11, 2020",0.870,0.870,0.870,0.870,25.00K,-2.25%
"Aug 10, 2020",0.890,0.895,0.895,0.890,15.00K,2.30%
"Aug 07, 2020",0.870,0.870,0.870,0.870,2.00K,0.00%
"Aug 06, 2020",0.870,0.870,0.870,0.860,75.80K,-2.79%
"Aug 05, 2020",0.895,0.850,0.895,0.850,26.10K,3.47%
"Aug 04, 2020",0.865,0.890,0.890,0.865,28.00K,-3.35%
"Aug 03, 2020",0.895,0.860,0.895,0.840,118.20K,-0.56%
