Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",3.100,3.140,3.200,3.100,46.50K,-1.27%
"Aug 28, 2020",3.140,3.160,3.190,3.120,82.40K,-0.95%
"Aug 27, 2020",3.170,3.240,3.240,3.160,127.40K,-2.16%
"Aug 26, 2020",3.240,3.250,3.360,3.230,100.60K,-1.52%
"Aug 25, 2020",3.290,3.270,3.440,3.220,681.10K,3.79%
"Aug 24, 2020",3.170,3.100,3.280,3.100,290.80K,2.92%
"Aug 21, 2020",3.080,3.110,3.110,3.050,63.00K,-0.65%
"Aug 19, 2020",3.100,3.200,3.250,3.100,82.20K,-1.59%
"Aug 18, 2020",3.150,3.100,3.150,3.000,95.70K,0.00%
"Aug 17, 2020",3.150,3.220,3.220,3.110,79.80K,-1.56%
"Aug 14, 2020",3.200,3.280,3.280,3.170,78.60K,-4.19%
"Aug 13, 2020",3.340,3.400,3.400,3.300,97.30K,-1.47%
"Aug 12, 2020",3.390,3.260,3.530,3.200,377.50K,4.95%
"Aug 11, 2020",3.230,3.450,3.450,3.200,292.20K,-6.38%
"Aug 10, 2020",3.450,3.450,3.470,3.320,148.40K,2.99%
"Aug 07, 2020",3.350,3.550,3.600,3.310,280.00K,-5.63%
"Aug 06, 2020",3.550,3.620,3.670,3.500,161.10K,-1.66%
"Aug 05, 2020",3.610,3.450,3.740,3.450,678.50K,4.94%
"Aug 04, 2020",3.440,3.420,3.570,3.380,374.30K,0.29%
"Aug 03, 2020",3.430,3.550,3.580,3.400,445.90K,-4.72%
