Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.340,0.330,0.345,0.330,138.40K,3.03%
"Aug 28, 2020",0.330,0.335,0.340,0.330,277.20K,-1.49%
"Aug 27, 2020",0.335,0.335,0.340,0.335,219.00K,0.00%
"Aug 26, 2020",0.335,0.325,0.335,0.325,85.20K,3.08%
"Aug 25, 2020",0.325,0.345,0.345,0.325,329.60K,-1.52%
"Aug 24, 2020",0.330,0.330,0.335,0.325,389.40K,1.54%
"Aug 21, 2020",0.325,0.320,0.335,0.310,379.60K,0.00%
"Aug 19, 2020",0.325,0.315,0.325,0.315,122.20K,3.17%
"Aug 18, 2020",0.315,0.305,0.320,0.305,173.30K,1.61%
"Aug 17, 2020",0.310,0.330,0.335,0.310,585.80K,-3.12%
"Aug 14, 2020",0.320,0.370,0.370,0.310,2.34M,-11.11%
"Aug 13, 2020",0.360,0.355,0.375,0.355,189.80K,1.41%
"Aug 12, 2020",0.355,0.370,0.370,0.350,166.00K,-4.05%
"Aug 11, 2020",0.370,0.375,0.380,0.365,426.00K,-1.33%
"Aug 10, 2020",0.375,0.375,0.380,0.365,217.80K,1.35%
"Aug 07, 2020",0.370,0.340,0.395,0.340,954.50K,7.25%
"Aug 06, 2020",0.345,0.350,0.365,0.345,445.10K,-1.43%
"Aug 05, 2020",0.350,0.360,0.365,0.350,297.30K,-2.78%
"Aug 04, 2020",0.360,0.370,0.370,0.350,227.60K,2.86%
"Aug 03, 2020",0.350,0.380,0.380,0.350,400.90K,-5.41%
