Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.605,0.610,0.610,0.605,79.10K,-2.42%
"Aug 28, 2020",0.620,0.610,0.620,0.605,148.70K,0.00%
"Aug 27, 2020",0.620,0.605,0.620,0.595,381.70K,0.81%
"Aug 26, 2020",0.615,0.625,0.625,0.615,201.00K,0.00%
"Aug 25, 2020",0.615,0.620,0.625,0.615,204.70K,0.00%
"Aug 24, 2020",0.615,0.625,0.625,0.610,238.70K,-1.60%
"Aug 21, 2020",0.625,0.625,0.625,0.605,121.10K,0.00%
"Aug 19, 2020",0.625,0.625,0.625,0.600,241.30K,0.00%
"Aug 18, 2020",0.625,0.620,0.630,0.605,249.20K,1.63%
"Aug 17, 2020",0.615,0.605,0.640,0.605,177.10K,0.00%
"Aug 14, 2020",0.615,0.625,0.625,0.605,317.00K,-2.38%
"Aug 13, 2020",0.630,0.645,0.650,0.630,336.70K,0.00%
"Aug 12, 2020",0.630,0.645,0.655,0.590,1.41M,-3.08%
"Aug 11, 2020",0.650,0.615,0.655,0.600,2.57M,8.33%
"Aug 10, 2020",0.600,0.615,0.615,0.600,322.70K,-1.64%
"Aug 07, 2020",0.610,0.630,0.630,0.610,257.60K,-3.17%
"Aug 06, 2020",0.630,0.620,0.635,0.620,853.30K,4.13%
"Aug 05, 2020",0.605,0.585,0.605,0.575,439.40K,4.31%
"Aug 04, 2020",0.580,0.590,0.600,0.575,522.90K,-2.52%
"Aug 03, 2020",0.595,0.610,0.610,0.590,403.20K,-4.03%
