Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.125,0.130,0.140,0.120,78.74M,0.00%
"Aug 28, 2020",0.125,0.115,0.140,0.115,128.62M,4.17%
"Aug 27, 2020",0.120,0.170,0.170,0.120,211.39M,-31.43%
"Aug 26, 2020",0.175,0.095,0.210,0.090,792.00M,84.21%
"Aug 25, 2020",0.095,0.075,0.105,0.075,36.20M,18.75%
"Aug 24, 2020",0.080,0.085,0.085,0.075,5.77M,-5.88%
"Aug 21, 2020",0.085,0.080,0.090,0.080,10.86M,6.25%
"Aug 19, 2020",0.080,0.075,0.080,0.075,2.50M,6.67%
"Aug 18, 2020",0.075,0.070,0.075,0.070,6.30M,0.00%
"Aug 17, 2020",0.075,0.080,0.080,0.070,19.62M,-6.25%
"Aug 14, 2020",0.080,0.095,0.100,0.080,14.44M,-15.79%
"Aug 13, 2020",0.095,0.090,0.105,0.090,13.00M,5.56%
"Aug 12, 2020",0.090,0.100,0.100,0.080,15.52M,-14.29%
"Aug 11, 2020",0.105,0.120,0.125,0.095,33.36M,-8.70%
"Aug 10, 2020",0.115,0.120,0.125,0.110,35.80M,9.52%
"Aug 07, 2020",0.105,0.090,0.120,0.090,40.21M,16.67%
"Aug 06, 2020",0.090,0.075,0.095,0.075,22.96M,12.50%
"Aug 05, 2020",0.080,0.075,0.080,0.075,1.64M,6.67%
"Aug 04, 2020",0.075,0.070,0.075,0.070,2.20M,7.14%
"Aug 03, 2020",0.070,0.075,0.075,0.070,2.83M,0.00%
