Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.705,0.710,0.735,0.705,75.90K,-0.70%
"Aug 28, 2020",0.710,0.705,0.710,0.700,323.10K,0.71%
"Aug 27, 2020",0.705,0.705,0.710,0.695,935.70K,0.00%
"Aug 26, 2020",0.705,0.710,0.720,0.695,391.20K,-0.70%
"Aug 25, 2020",0.710,0.735,0.735,0.710,702.50K,-5.96%
"Aug 24, 2020",0.755,0.700,0.810,0.700,3.76M,9.42%
"Aug 21, 2020",0.690,0.690,0.710,0.685,334.00K,1.47%
"Aug 19, 2020",0.680,0.680,0.685,0.680,61.50K,0.00%
"Aug 18, 2020",0.680,0.680,0.690,0.680,120.60K,-1.45%
"Aug 17, 2020",0.690,0.700,0.710,0.685,552.60K,0.00%
"Aug 14, 2020",0.690,0.720,0.725,0.685,495.00K,-3.50%
"Aug 13, 2020",0.715,0.700,0.735,0.700,797.60K,2.14%
"Aug 12, 2020",0.700,0.685,0.710,0.680,67.20K,2.19%
"Aug 11, 2020",0.685,0.690,0.690,0.685,45.60K,-0.72%
"Aug 10, 2020",0.690,0.705,0.705,0.690,239.70K,-2.13%
"Aug 07, 2020",0.705,0.695,0.705,0.695,353.00K,2.17%
"Aug 06, 2020",0.690,0.675,0.690,0.670,281.50K,1.47%
"Aug 05, 2020",0.680,0.675,0.680,0.670,136.30K,0.74%
"Aug 04, 2020",0.675,0.675,0.685,0.670,109.50K,-1.46%
"Aug 03, 2020",0.685,0.680,0.685,0.675,124.40K,0.00%
