Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.040,0.035,0.040,0.035,11.28M,0.00%
"Aug 28, 2020",0.040,0.035,0.040,0.035,29.88M,14.29%
"Aug 27, 2020",0.035,0.035,0.040,0.035,12.65M,0.00%
"Aug 26, 2020",0.035,0.035,0.040,0.030,46.00M,0.00%
"Aug 25, 2020",0.035,0.040,0.040,0.030,51.23M,-12.50%
"Aug 24, 2020",0.040,0.040,0.040,0.035,5.78M,14.29%
"Aug 21, 2020",0.035,0.035,0.040,0.035,7.44M,0.00%
"Aug 19, 2020",0.035,0.040,0.040,0.035,127.46M,0.00%
"Aug 18, 2020",0.035,0.035,0.040,0.035,6.74M,-12.50%
"Aug 17, 2020",0.040,0.035,0.040,0.035,12.13M,14.29%
"Aug 14, 2020",0.035,0.040,0.040,0.035,24.89M,0.00%
"Aug 13, 2020",0.035,0.045,0.045,0.035,39.26M,-22.22%
"Aug 12, 2020",0.045,0.040,0.045,0.035,97.52M,0.00%
"Aug 11, 2020",0.045,0.050,0.050,0.035,334.60M,0.00%
"Aug 10, 2020",0.045,0.035,0.050,0.035,308.56M,50.00%
"Aug 07, 2020",0.030,0.030,0.040,0.030,208.93M,0.00%
"Aug 06, 2020",0.030,0.035,0.035,0.030,9.26M,-14.29%
"Aug 05, 2020",0.035,0.035,0.035,0.030,35.73M,16.67%
"Aug 04, 2020",0.030,0.030,0.035,0.025,43.97M,0.00%
"Aug 03, 2020",0.030,0.025,0.030,0.025,8.38M,20.00%
