Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.370,0.375,0.375,0.370,425.50K,1.37%
"Aug 28, 2020",0.365,0.380,0.385,0.365,434.20K,-3.95%
"Aug 27, 2020",0.380,0.390,0.395,0.380,933.20K,-2.56%
"Aug 26, 2020",0.390,0.380,0.420,0.380,6.18M,4.00%
"Aug 25, 2020",0.375,0.355,0.380,0.355,1.38M,5.63%
"Aug 24, 2020",0.355,0.365,0.365,0.350,326.90K,-1.39%
"Aug 21, 2020",0.360,0.345,0.360,0.345,72.40K,4.35%
"Aug 19, 2020",0.345,0.355,0.355,0.345,51.00K,-2.82%
"Aug 18, 2020",0.355,0.350,0.390,0.335,1.37M,5.97%
"Aug 17, 2020",0.335,0.330,0.335,0.330,88.60K,0.00%
"Aug 14, 2020",0.335,0.345,0.345,0.335,183.60K,-2.90%
"Aug 13, 2020",0.345,0.350,0.350,0.345,260.30K,-1.43%
"Aug 12, 2020",0.350,0.370,0.370,0.345,895.20K,-5.41%
"Aug 11, 2020",0.370,0.330,0.370,0.330,1.79M,10.45%
"Aug 10, 2020",0.335,0.335,0.335,0.325,135.00K,-1.47%
"Aug 07, 2020",0.340,0.345,0.345,0.330,655.70K,1.49%
"Aug 06, 2020",0.335,0.325,0.345,0.325,1.36M,1.52%
"Aug 05, 2020",0.330,0.330,0.335,0.330,448.30K,0.00%
"Aug 04, 2020",0.330,0.330,0.330,0.325,176.00K,0.00%
"Aug 03, 2020",0.330,0.325,0.330,0.325,113.20K,1.54%
