Date,Price,Open,High,Low,Vol.,Change %
"Nov 13, 2020",2.250,2.300,2.300,2.220,791.80K,-1.75%
"Nov 12, 2020",2.290,2.120,2.320,2.120,2.29M,9.05%
"Nov 11, 2020",2.100,2.100,2.100,2.050,426.10K,0.00%
"Nov 10, 2020",2.100,2.150,2.150,2.100,545.20K,-1.87%
"Nov 09, 2020",2.140,2.150,2.160,2.110,556.40K,1.42%
"Nov 06, 2020",2.110,2.150,2.220,2.100,2.03M,1.93%
"Nov 05, 2020",2.070,1.980,2.070,1.980,370.20K,6.70%
"Nov 04, 2020",1.940,1.950,1.970,1.930,214.00K,1.04%
"Nov 03, 2020",1.920,1.870,1.940,1.870,130.50K,2.67%
"Nov 02, 2020",1.870,1.900,1.900,1.810,316.70K,-2.09%
"Oct 30, 2020",1.910,2.000,2.000,1.860,691.60K,-4.50%
"Oct 28, 2020",2.000,2.030,2.030,2.000,329.60K,-1.96%
"Oct 27, 2020",2.040,2.030,2.050,1.990,167.60K,0.49%
"Oct 26, 2020",2.030,2.060,2.090,1.950,569.10K,-0.98%
"Oct 23, 2020",2.050,2.070,2.140,2.020,764.70K,-0.97%
"Oct 22, 2020",2.070,2.080,2.100,2.020,372.60K,-0.48%
"Oct 21, 2020",2.080,2.130,2.150,2.050,460.90K,-2.35%
"Oct 20, 2020",2.130,2.190,2.190,2.100,869.70K,-1.84%
"Oct 19, 2020",2.170,2.040,2.170,2.030,1.02M,6.37%
"Oct 16, 2020",2.040,2.060,2.070,2.040,258.80K,-0.97%
"Oct 15, 2020",2.060,2.080,2.130,2.050,1.21M,0.00%
