Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.100,0.090,0.105,0.090,18.93M,11.11%
"Aug 28, 2020",0.090,0.090,0.110,0.075,69.61M,5.88%
"Aug 27, 2020",0.085,0.075,0.155,0.075,283.38M,13.33%
"Aug 26, 2020",0.075,0.075,0.080,0.065,10.19M,7.14%
"Aug 25, 2020",0.070,0.070,0.075,0.070,2.15M,-6.67%
"Aug 24, 2020",0.075,0.075,0.080,0.070,4.20M,-6.25%
"Aug 21, 2020",0.080,0.070,0.080,0.070,1.87M,14.29%
"Aug 19, 2020",0.070,0.075,0.075,0.065,1.28M,-6.67%
"Aug 18, 2020",0.075,0.065,0.085,0.065,9.21M,7.14%
"Aug 17, 2020",0.070,0.070,0.070,0.060,1.08M,0.00%
"Aug 14, 2020",0.070,0.075,0.075,0.065,1.69M,-6.67%
"Aug 13, 2020",0.075,0.070,0.080,0.065,5.76M,7.14%
"Aug 12, 2020",0.070,0.075,0.075,0.050,5.05M,-6.67%
"Aug 11, 2020",0.075,0.095,0.100,0.065,12.27M,-16.67%
"Aug 10, 2020",0.090,0.050,0.140,0.050,46.64M,80.00%
"Aug 07, 2020",0.050,0.050,0.050,0.045,467.60K,0.00%
"Aug 06, 2020",0.050,0.050,0.050,0.040,243.40K,0.00%
"Aug 05, 2020",0.050,0.045,0.050,0.045,1.00M,11.11%
"Aug 04, 2020",0.045,0.040,0.045,0.040,305.50K,0.00%
"Aug 03, 2020",0.045,0.045,0.045,0.040,111.00K,12.50%
